민원ID,접수일,접수채널,행정동,주소,위도,경도,반복지점,반복여부,민원내용,처리상태,처리일,처리기간,담당부서,신고자연락처,신고자생년
M0074,2026/07/18,방문,다솜동,다솜동 다솜빌라 주차장,37.5456,127.058728,다솜빌라 주차장,Y,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,2026/07/26,8,환경관리과,010-3996-1692,19560423-2******
M0125,2026-06-15,국민신문고,바다동,세종특별자치시 한빛구 바다동 37로 81,37.560681,127.070183,,N,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,완료,2026-06-24,9,청소행정과,010-9947-9755,19850308-1******
M0173,2026-07-30,홈페이지,나래동,세종특별자치시 한빛구 나래동 18로 89,37.558822,127.057168,나래아파트 상가,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026-07-31,1,주민생활지원과,010-6098-1683,19690122-1******
M0007,2026/06/28,방문,가온동,가온동 가온동 일원,,,,N,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026/07/04,6,환경관리과,010-3548-4038,19980322-2******
M0127,260619,앱,바다동,세종특별자치시 한빛구 바다동 23로 63,37.561637,127.067362,바다공원 북측 출입로,Y,냄새가 너무 심합니다 조치 부탁드립니다,완료,260622,3,주민생활지원과,010-5817-8391,19571018-1******
M0025,260701,국민신문고,가온동,가온동 가온시장 뒷골목,37.552257,127.049843,가온시장 뒷골목,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,260715,14,청소행정과,010-3825-2702,19850812-1******
M0079,2026-07-21,방문,다솜동,세종특별자치시 한빛구 다솜동 13로 63,37.545981,127.059471,,N,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,완료,2026-08-04,14,청소행정과,010-7209-9607,19630202-1******
M0106,2026-07-08,홈페이지,마루동,한빛구 마루동 325-21,37.550378,127.034541,마루경로당 앞,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,2026-07-12,4,주민생활지원과,010-3587-5499,20040628-1******
M0057,2026/08/02,홈페이지,다솜동,다솜동 다솜동 일원,37.545296,127.060772,,N,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026/08/11,9,청소행정과,010-2963-2558,20040420-2******
M0031,2026.08.14,앱,가온동,한빛구 가온동 227-14,37.550835,127.046916,가온로 12길 일대,Y,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,완료,2026.08.18,4,청소행정과,010-5228-5794,19551019-1******
M0139,260502,국민신문고,바다동,세종특별자치시 한빛구 바다동 27로 9,37.555142,127.065387,,N,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,처리중,,,청소행정과,010-6998-4439,19600922-2******
M0166,2026.06.12,전화,새벽동,,37.547067,127.048833,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026.06.15,3,청소행정과,010-3509-9647,19730806-2******
M0006,2026-07-11,국민신문고,가온동,한빛구 가온동 260-44,37.551567,127.048234,가온로 12길 일대,Y,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026-07-21,10,주민생활지원과,010-5059-6886,19970716-2******
M0046,2026-07-05,국민신문고,가온동,한빛구 가온동 699-5,37.552426,127.049508,가온시장 뒷골목,Y,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,완료,2026-07-11,6,주민생활지원과,010-9890-5136,19840320-1******
M0078,2026/06/06,앱,다솜동,다솜동 다솜로 3길 원룸촌,37.545821,127.05982,다솜로 3길 원룸촌,Y,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026/06/16,10,환경관리과,010-2327-2658,19680105-2******
M0103,2026-06-07,홈페이지,마루동,마루동 마루동 일원,37.549495,127.032506,,N,여기 좀 봐주세요,완료,2026-06-16,9,주민생활지원과,010-8703-8719,19801001-1******
M0131,260805,전화,바다동,한빛구 바다동 103-9,37.564163,127.065916,,N,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,완료,260809,4,주민생활지원과,010-3180-1284,19940810-2******
M0189,2026-07-06,전화,라온동,라온동 라온동 일원,37.558737,127.041417,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026-07-14,8,주민생활지원과,010-9320-8041,20021114-1******
M0077,2026.07.28,전화,다솜동,다솜동 다솜빌라 주차장,37.545423,127.059204,다솜빌라 주차장,Y,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,완료,2026.08.07,10,주민생활지원과,010-3568-8929,19891002-2******
M0145,260720,앱,바다동,세종특별자치시 한빛구 바다동 18로 18,37.561044,127.067213,바다공원 북측 출입로,Y,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,완료,260726,6,청소행정과,010-3400-3862,19820925-2******
M0012,260818,방문,가온동,가온동 가온동 일원,37.550525,127.0555,,N,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,처리중,,,환경관리과,010-8497-7246,19640928-2******
M0093,2026-07-09,방문,마루동,마루동 마루경로당 앞,37.550366,127.035302,마루경로당 앞,Y,여기 좀 봐주세요,완료,2026-07-20,11,청소행정과,010-6725-6660,19721220-1******
M0179,2026-07-28,국민신문고,나래동,한빛구 나래동 783-26,37.549593,127.057723,,N,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,완료,2026-08-01,4,환경관리과,010-5653-1529,19640110-1******
M0114,260707,국민신문고,마루동,한빛구 마루동 307-35,37.544048,127.034695,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,260713,6,청소행정과,010-8622-8667,19870727-2******
M0188,2026-07-11,앱,라온동,세종특별자치시 한빛구 라온동 18로 85,37.564509,127.041688,라온천 산책로 입구,Y,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,2026-07-21,10,환경관리과,010-7154-3753,19710319-1******
M0062,2026/08/12,국민신문고,다솜동,한빛구 다솜동 306-43,37.545434,127.058623,다솜로 3길 원룸촌,Y,여기 좀 봐주세요,완료,2026/08/23,11,주민생활지원과,010-8988-9231,19910306-1******
M0029,2026.07.24,방문,가온동,가온동 가온시장 뒷골목,37.552304,127.04947,가온시장 뒷골목,Y,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,완료,2026.08.03,10,청소행정과,010-6953-7677,19870302-2******
M0180,2026-06-27,방문,나래동,세종특별자치시 한빛구 나래동 26로 11,37.560226,127.058614,,N,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,완료,2026-06-29,2,청소행정과,010-8392-1000,19710610-2******
M0081,2026-07-01,홈페이지,다솜동,다솜동 다솜중학교 후문,37.546931,127.061211,다솜중학교 후문,Y,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026-07-13,12,주민생활지원과,010-5445-8159,20010619-2******
M0196,2026-07-01,국민신문고,라온동,세종특별자치시 한빛구 라온동 29로 29,37.562085,127.044398,,N,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026-07-04,3,환경관리과,010-9985-6999,19550802-1******
M0167,2026/08/02,앱,새벽동,한빛구 새벽동 498-13,37.54354,127.050579,,N,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,완료,2026/08/11,9,청소행정과,010-5832-2199,20001223-2******
M0032,2026-08-10,방문,가온동,세종특별자치시 한빛구 가온동 18로 13,37.553031,127.050916,,N,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,2026-08-19,9,주민생활지원과,010-9798-5029,19760226-1******
M0008,2026-05-04,홈페이지,가온동,세종특별자치시 한빛구 가온동 24로 35,37.55255,127.048317,가온시장 뒷골목,Y,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026-05-12,8,청소행정과,010-6558-9797,19620824-2******
M0151,260729,방문,새벽동,한빛구 새벽동 300-20,37.54626,127.053679,,N,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,260809,11,주민생활지원과,010-6261-8365,19920425-2******
M0042,2026-07-14,방문,가온동,가온동 가온동 일원,37.553391,127.045232,,N,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,완료,2026-07-22,8,청소행정과,010-4174-9000,20040721-1******
M0171,2026.08.11,방문,나래동,나래동 나래아파트 상가,37.558804,127.05688,나래아파트 상가,Y,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026.08.14,3,주민생활지원과,010-5010-2408,19760617-2******
M0111,2026/07/21,전화,마루동,마루동 마루경로당 앞,37.550223,127.035231,마루경로당 앞,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026/07/22,1,청소행정과,010-9750-1182,19740620-1******
M0186,2026.07.11,방문,나래동,세종특별자치시 한빛구 나래동 3로 44,37.559258,127.056698,나래아파트 상가,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,보류,,,환경관리과,010-7724-8305,19591218-2******
M0041,2026-08-09,방문,가온동,세종특별자치시 한빛구 가온동 34로 89,37.553212,127.049461,가온시장 뒷골목,Y,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,완료,2026-08-19,10,환경관리과,010-9574-5851,19671111-1******
M0102,2026-06-06,앱,,세종특별자치시 한빛구 마루동 19로 16,37.549968,127.035041,마루경로당 앞,Y,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,보류,,,환경관리과,010-9578-6226,19670504-1******
M0033,2026.08.03,전화,가온동,가온동 가온동 일원,37.553624,127.044113,,N,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,완료,2026.08.15,12,주민생활지원과,010-2695-2177,19550310-2******
M0019,2026/08/19,전화,가온동,세종특별자치시 한빛구 가온동 36로 16,37.555463,127.048127,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,2026/09/02,14,주민생활지원과,010-3076-8273,19931014-2******
M0095,260502,국민신문고,마루동,세종특별자치시 한빛구 마루동 13로 79,37.544692,127.033154,,N,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,완료,260514,12,청소행정과,010-6935-5757,19720413-1******
M0178,2026.08.08,홈페이지,나래동,한빛구 나래동 267-31,37.557868,127.055984,,N,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,완료,2026.08.11,3,청소행정과,010-9367-7393,19830805-2******
M0197,2026.08.12,앱,라온동,한빛구 라온동 436-3,37.564765,127.041767,라온천 산책로 입구,Y,냄새가 너무 심합니다 조치 부탁드립니다,보류,,,청소행정과,010-7088-3460,19651008-2******
M0001,2026/07/23,전화,가온동,세종특별자치시 한빛구 가온동 14로 82,37.55055,127.059327,,N,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,완료,2026/08/04,,주민생활지원과,010-5370-1303,19720709-1******
M0083,2026-05-30,앱,다솜동,세종특별자치시 한빛구 다솜동 37로 47,37.546214,127.0669,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026-06-09,10,청소행정과,010-9769-5366,19630102-2******
M0026,2026-08-05,앱,가온동,세종특별자치시 한빛구 가온동 16로 26,37.552964,127.04884,가온시장 뒷골목,Y,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026-08-17,12,청소행정과,010-5248-6026,19920215-1******
M0112,260714,국민신문고,마루동,마루동 마루골목 상가 뒤,37.54922,127.033734,마루골목 상가 뒤,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,260724,10,환경관리과,010-9597-6293,19830117-1******
M0184,2026-05-11,방문,나래동,나래동 나래동 일원,37.559208,127.057532,,N,여기 좀 봐주세요,보류,,,환경관리과,010-6024-9563,19700427-1******
M0162,2026/06/02,홈페이지,새벽동,새벽동 새벽동 일원,37.543057,127.05401,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,보류,,,환경관리과,010-6643-2158,19890222-1******
M0014,2026/07/10,국민신문고,가온동,가온동 가온시장 뒷골목,37.552796,127.048762,가온시장 뒷골목,Y,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,완료,2026/07/18,8,청소행정과,010-4556-3318,19740110-1******
M9891,2026.06.11,앱,라온동,,37.561275,127.042295,,N,여기 좀 봐주세요,완료,2026.06.20,9,청소행정과,010-2245-5120,19770214-2******
M0100,2026-06-21,앱,,세종특별자치시 한빛구 마루동 13로 86,37.550308,127.035007,마루경로당 앞,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026-06-27,,주민생활지원과,010-7535-5726,19780517-2******
M0090,260712,홈페이지,다솜동,한빛구 다솜동 198-50,37.54516,127.058817,다솜빌라 주차장,Y,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,260722,10,환경관리과,010-5303-9351,19560203-2******
M0200,260807,방문,라온동,세종특별자치시 한빛구 라온동 6로 73,37.563947,127.041923,라온천 산책로 입구,Y,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,260813,6,청소행정과,010-8213-6053,19600727-2******
M0118,2026.07.05,방문,마루동,마루동 마루동 일원,37.547213,127.034205,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026.07.09,,주민생활지원과,010-2133-7804,19990509-1******
M0148,260727,국민신문고,새벽동,새벽동 새벽동 일원,37.543837,127.046669,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,260804,8,청소행정과,010-8515-8525,19840612-1******
M0098,2026.07.28,전화,마루동,세종특별자치시 한빛구 마루동 8로 43,37.550012,127.035082,마루경로당 앞,Y,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,완료,2026.08.05,8,환경관리과,010-4421-8241,19750120-1******
M0160,2026-07-20,앱,새벽동,새벽동 새벽동 일원,37.548592,127.051102,,N,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,완료,2026-07-23,3,청소행정과,010-6237-2109,19791205-1******
M0084,260816,국민신문고,다솜동,한빛구 다솜동 116-43,37.55007,127.061865,,N,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,완료,260823,7,주민생활지원과,010-6502-6659,19951009-1******
M0129,2026.08.06,국민신문고,바다동,바다동 바다동 일원,37.561391,127.073259,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,처리중,,,주민생활지원과,010-8040-6250,19621213-1******
M0156,2026/07/02,방문,새벽동,한빛구 새벽동 742-36,37.545176,127.051158,새벽역 2번출구 뒤편,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,2026/07/08,6,환경관리과,010-8793-4450,20041003-1******
M0080,260808,앱,다솜동,다솜동 다솜로 3길 원룸촌,37.546082,127.060527,다솜로 3길 원룸촌,Y,여기 좀 봐주세요,처리중,,-2,환경관리과,010-6298-2758,19591124-2******
M0035,2026.06.18,홈페이지,가온동,세종특별자치시 한빛구 가온동 39로 68,37.549624,127.04726,,N,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026.06.26,8,청소행정과,010-8094-8609,19641126-2******
M0036,2026/05/27,전화,가온동,세종특별자치시 한빛구 가온동 40로 15,37.552144,127.047184,가온로 12길 일대,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026/06/07,11,환경관리과,010-8083-1516,19591004-2******
M0004,2026-08-14,앱,가온동,가온동 가온동 일원,37.556277,127.051961,,N,냄새가 너무 심합니다 조치 부탁드립니다,보류,,,주민생활지원과,010-6697-4501,19770416-1******
M0146,2026-08-13,앱,바다동,세종특별자치시 한빛구 바다동 39로 78,37.558705,127.065355,,N,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,완료,2026-08-20,7,주민생활지원과,010-7125-4852,19680304-2******
M0110,2026-06-05,방문,마루동,세종특별자치시 한빛구 마루동 8로 34,37.548894,127.034054,마루골목 상가 뒤,Y,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026-06-15,10,환경관리과,010-7958-6630,19760509-1******
M0069,2026-05-03,홈페이지,다솜동,다솜동 다솜로 3길 원룸촌,37.545261,127.060164,다솜로 3길 원룸촌,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,2026-05-13,10,환경관리과,010-5775-1211,19851011-1******
M0157,260509,홈페이지,새벽동,새벽동 새벽동 일원,37.552759,127.051823,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,260514,5,주민생활지원과,010-6403-7979,19700513-1******
M0143,2026-07-09,홈페이지,바다동,세종특별자치시 한빛구 바다동 20로 3,37.559982,127.069112,,N,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026-07-10,1,환경관리과,010-9841-1420,19561212-2******
M0136,2026-05-02,홈페이지,바다동,바다동 바다동 일원,37.564709,127.065114,,N,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,2026-05-04,2,청소행정과,010-5288-5802,19611224-1******
M0149,2026-07-22,앱,새벽동,새벽동 새벽역 2번출구 뒤편,37.544474,127.052073,새벽역 2번출구 뒤편,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026-07-28,6,주민생활지원과,010-2570-5473,19690811-1******
M0098,2026.07.28,전화,마루동,세종특별자치시 한빛구 마루동 8로 43,37.550012,127.035082,마루경로당 앞,Y,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,완료,2026.08.05,8,환경관리과,010-4421-8241,19750120-1******
M0047,2026/06/26,홈페이지,가온동,한빛구 가온동 324-14,37.553778,127.049718,,N,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026/07/08,12,환경관리과,010-6317-1526,19970601-2******
M0175,2026/07/20,홈페이지,나래동,세종특별자치시 한빛구 나래동 26로 78,37.554728,127.051656,,N,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026/07/26,6,청소행정과,010-7740-3028,19750119-1******
M0089,2026/07/05,전화,다솜동,한빛구 다솜동 299-7,37.545275,127.057251,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,2026/07/13,8,환경관리과,010-8602-3546,19810811-2******
M9143,2026-07-24,방문,나래동,나래동 나래아파트 상가,,,나래아파트 상가,Y,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,보류,,,청소행정과,010-7016-6936,19710118-1******
