민원ID,접수일,접수채널,행정동,주소,위도,경도,반복지점,반복여부,민원내용,처리상태,처리일,처리기간,담당부서,신고자연락처,신고자생년
M0087,2026.06.25,전화,,세종특별자치시 한빛구 다솜동 25로 82,37.545088,127.059237,다솜빌라 주차장,Y,대형폐기물 같은데 스티커가 있는지 없는지 멀어서 확인이 안 됐습니다.,완료,2026.07.04,9,청소행정과,010-5813-8224,20020508-2******
M0195,2026.06.11,앱,라온동,,37.561275,127.042295,,N,이게 상습인지 이번만인지는 제가 알 수가 없습니다. 오늘 처음 봤습니다.,완료,2026.06.20,9,청소행정과,010-2245-5120,19770214-2******
M0191,2026-05-24,홈페이지,라온동,,,,,N,오늘은 배출일이 아닙니다. 그런데도 봉투가 여러 개 나와 있어요.,완료,2026-05-25,1,주민생활지원과,010-8885-1361,19820904-2******
M0073,2026.07.14,국민신문고,다솜동,한빛구 다솜동 519-45,37.546224,127.059913,다솜로 3길 원룸촌,Y,일반 비닐봉지에 담긴 생활쓰레기가 전봇대 밑에 있습니다. 종량제가 아닙니다.,보류,,,주민생활지원과,010-6603-2338,19600727-2******
M0120,2026.08.15,국민신문고,마루동,한빛구 마루동 338-23,37.545546,127.038705,,N,벽돌이랑 시멘트 부대가 길가에 쌓여 있어요. 몇 주 됐습니다.,완료,2026.08.24,9,주민생활지원과,010-2240-5667,19810803-1******
M0161,2026-07-28,방문,,세종특별자치시 한빛구 새벽동 24로 79,37.544615,127.051528,새벽역 2번출구 뒤편,Y,책장이랑 수납장이 나와 있는데 수거 표시가 없어요.,완료,2026-08-01,4,주민생활지원과,010-9870-2864,19710826-1******
M0083,2026-05-30,앱,다솜동,세종특별자치시 한빛구 다솜동 37로 47,37.546214,127.0669,,N,며칠째 같은 자리에 쓰레기가 방치돼 있습니다. 지난주에도 신고했는데 또입니다. 몇 번을 말해야 합니까.,완료,2026-06-09,10,청소행정과,010-9769-5366,19630102-2******
M0150,260523,국민신문고,,한빛구 새벽동 771-9,37.544627,127.051566,새벽역 2번출구 뒤편,Y,요일제 시행 중인 거 맞나요. 지켜지지가 않습니다.,완료,260531,8,주민생활지원과,010-6247-9999,19720210-2******
M0043,2026/06/18,방문,,가온동 가온로 12길 일대,37.55142,127.047853,가온로 12길 일대,Y,어제도 안 치워가고 오늘도 안 치워갑니다. 이틀째입니다.,완료,2026/06/28,10,환경관리과,010-3717-8765,19570826-2******
M0154,2026-08-03,방문,새벽동,세종특별자치시 한빛구 새벽동 4로 40,37.544188,127.052119,새벽역 2번출구 뒤편,Y,공사판 쓰레기가 그대로예요 치워주세요,완료,2026-08-13,10,환경관리과,010-5905-7519,19820616-2******
M0027,2026-07-23,홈페이지,가온동,가온동 가온로 12길 일대,37.551302,127.047075,가온로 12길 일대,Y,인테리어 공사하고 나온 석고보드랑 목재가 그대로입니다.,완료,2026-07-29,6,청소행정과,010-7656-1898,19700722-1******
M0020,260524,홈페이지,가온동,한빛구 가온동 800-5,37.54969,127.044134,,N,작년부터 계속 신고했는데 나아지질 않습니다. 단속 카메라라도 달아주세요.,완료,260604,11,주민생활지원과,010-6879-4786,19580907-1******
M0152,2026.07.16,앱,새벽동,세종특별자치시 한빛구 새벽동 1로 42,37.541011,127.055272,,N,매번 같은 자리입니다. 이번 달만 세 번째 신고예요.,완료,2026.07.17,1,주민생활지원과,010-6297-2950,19790914-2******
M0051,2026-07-25,국민신문고,가온동,세종특별자치시 한빛구 가온동 38로 14,37.553158,127.050124,,N,재활용만 수거하고 나머지는 안 가져갔습니다. 기준이 뭔지 모르겠습니다.,완료,2026-07-31,6,환경관리과,010-9033-6511,19820220-1******
M0054,2026-06-22,홈페이지,다솜동,다솜동 다솜빌라 주차장,37.545759,127.059037,다솜빌라 주차장,Y,배출함이 가득 차서 바닥에 놓을 수밖에 없었습니다. 이게 무단투기인가요 아닌가요.,완료,2026-06-29,7,주민생활지원과,010-7613-7557,19850818-1******
M0116,2026-05-26,전화,마루동,세종특별자치시 한빛구 마루동 5로 31,37.548992,127.035005,,N,지난주부터 우리 라인만 계속 빠집니다. 담당 구역이 바뀐 건가요.,완료,2026-05-29,3,주민생활지원과,010-5570-8005,19830423-1******
M0158,2026-08-14,앱,새벽동,새벽동 새벽동 일원,37.543255,127.056659,,N,지정된 날이 아닌데 배출했습니다. 수거일까지 그대로 있을 것 같습니다.,완료,2026-08-18,4,주민생활지원과,010-8104-3011,19910623-1******
M0181,260621,전화,나래동,나래동 나래아파트 상가,37.559245,127.057505,나래아파트 상가,Y,침대 매트리스가 계단 옆에 서 있습니다. 넘어질 것 같아 위험합니다.,완료,260625,4,청소행정과,010-7458-2547,19850724-1******
M0039,2026-07-07,국민신문고,가온동,세종특별자치시 한빛구 가온동 6로 14,37.55167,127.047256,가온로 12길 일대,Y,정문 앞이 너무 지저분합니다 매일 이럽니다,완료,2026-07-18,11,환경관리과,010-8526-8556,19750208-2******
M0121,2026-06-23,국민신문고,마루동,세종특별자치시 한빛구 마루동 17로 26,37.550124,127.034728,마루경로당 앞,Y,이거 어떻게 하나요,완료,2026-06-29,365,주민생활지원과,010-3961-8632,19550203-2******
M0028,2026.08.06,앱,가온동,한빛구 가온동 412-6,37.550611,127.047473,가온로 12길 일대,Y,배출 요일이 아닌데 미리 내놔서 길이 지저분합니다.,완료,2026.08.09,3,환경관리과,010-5030-7625,19840604-1******
M0144,260708,방문,바다동,세종특별자치시 한빛구 바다동 22로 75,37.567565,127.067767,,N,수거함 주변이 엉망입니다. 함이 작아서 그런 것 같습니다.,완료,260718,10,청소행정과,010-9278-6150,19800605-1******
M0123,2026-06-18,앱,바다동,세종특별자치시 한빛구 바다동 7로 48,37.558137,127.059798,,N,아파트 후문 쪽 화단에 생활쓰레기가 계속 쌓입니다,완료,2026-06-23,5,환경관리과,010-4903-6430,19580526-2******
M0101,2026/06/26,방문,마루동,세종특별자치시 한빛구 마루동 31로 73,37.5499,127.03543,마루경로당 앞,Y,샷시 뜯어낸 거랑 유리 조각이 같이 있어서 아주 위험합니다. 유리는 특히 빨리 치워주세요.,보류,,,환경관리과,010-9654-9462,19660228-1******
M0113,2026.07.26,홈페이지,마루동,마루동 마루동 일원,37.554368,127.035551,,N,대형폐기물인데 스티커 없이 그냥 뒀습니다. 신고 안 하고 버리면 안 되는 거 아닌가요.,처리중,,,청소행정과,010-8989-7557,19800122-2******
M0063,2026-07-03,앱,,한빛구 다솜동 559-52,37.545436,127.059717,다솜로 3길 원룸촌,Y,누가 버렸는지는 모르겠는데 봉투가 찢어져서 내용물이 다 흩어졌어요. 바람 불면 도로까지 날아갑니다. 아침마다 저희가 쓸고 있습니다.,완료,2026-04-02,8,환경관리과,010-5488-6300,19650903-1******
M0074,2026/07/18,방문,다솜동,다솜동 다솜빌라 주차장,37.5456,127.058728,다솜빌라 주차장,Y,규정대로 종량제 봉투에 담아 제때 내놨는데 수거가 안 됐습니다. 왜 그런지 알려주세요.,완료,2026/07/26,8,환경관리과,010-3996-1692,19560423-2******
M0125,2026-06-15,국민신문고,바다동,세종특별자치시 한빛구 바다동 37로 81,37.560681,127.070183,,N,단열재랑 석고보드가 바람에 날리고 있습니다.,완료,2026-06-24,9,청소행정과,010-9947-9755,19850308-1******
M0173,2026-07-30,홈페이지,나래동,세종특별자치시 한빛구 나래동 18로 89,37.558822,127.057168,나래아파트 상가,Y,통 밖에 쌓인 재활용품이 바람에 날립니다. 도로까지 굴러갑니다.,완료,2026-07-31,1,주민생활지원과,010-6098-1683,19690122-1******
M0007,2026/06/28,방문,가온동,가온동 가온동 일원,,,,N,사진 첨부합니다. 확인해 주세요.,완료,2026/07/04,6,환경관리과,010-3548-4038,19980322-2******
M0127,260619,앱,바다동,세종특별자치시 한빛구 바다동 23로 63,37.561637,127.067362,바다공원 북측 출입로,Y,심각합니다. 조치 바랍니다.,완료,260622,3,주민생활지원과,010-5817-8391,19571018-1******
M0025,260701,국민신문고,가온동,가온동 가온시장 뒷골목,37.552257,127.049843,가온시장 뒷골목,Y,대형 가구가 버려져 있습니다 처리 부탁드려요,완료,260715,14,청소행정과,010-3825-2702,19850812-1******
M0079,2026-07-21,방문,다솜동,세종특별자치시 한빛구 다솜동 13로 63,37.545981,127.059471,,N,식당에서 나온 폐식용유 통이랑 박스가 같이 버려져 있습니다.,완료,2026-08-04,14,청소행정과,010-7209-9607,19630202-1******
M0106,2026-07-08,홈페이지,마루동,한빛구 마루동 325-21,37.550378,127.034541,마루경로당 앞,Y,매트리스 두 개가 벽에 기대어 있습니다. 비 맞아서 곰팡이 났습니다.,완료,2026-07-12,4,주민생활지원과,010-3587-5499,20040628-1******
M0057,2026/08/02,홈페이지,다솜동,다솜동 다솜동 일원,37.545296,127.060772,,N,배출요일 위반입니다. 해당 세대 계도 부탁드립니다.,완료,2026/08/11,9,청소행정과,010-2963-2558,20040420-2******
M0031,2026.08.14,앱,가온동,한빛구 가온동 227-14,37.550835,127.046916,가온로 12길 일대,Y,악취가 너무 심해요 이거 음식물인것 같은데 처리 부탁드립니다,완료,2026.08.18,4,청소행정과,010-5228-5794,19551019-1******
M0139,260502,국민신문고,바다동,세종특별자치시 한빛구 바다동 27로 9,37.555142,127.065387,,N,세탁기가 길가에 나와 있는데 신고 필증이 안 보입니다.,처리중,,,청소행정과,010-6998-4439,19600922-2******
M0166,2026.06.12,전화,새벽동,,37.547067,127.048833,,N,생활쓰레기가 인도 절반을 막고 있어서 유모차가 못 지나갑니다.,완료,2026.06.15,3,청소행정과,010-3509-9647,19730806-2******
M0006,2026-07-11,국민신문고,가온동,한빛구 가온동 260-44,37.551567,127.048234,가온로 12길 일대,Y,요일제 안 지켜서 며칠씩 방치됩니다 안내문이라도 붙여주세요,완료,2026-07-21,10,주민생활지원과,010-5059-6886,19970716-2******
M0046,2026-07-05,국민신문고,가온동,한빛구 가온동 699-5,37.552426,127.049508,가온시장 뒷골목,Y,지난달 공사한 집 앞에 폐자재가 아직도 있습니다. 언제까지 둘 셈인지 모르겠네요.,완료,2026-07-11,6,주민생활지원과,010-9890-5136,19840320-1******
M0078,2026/06/06,앱,다솜동,다솜동 다솜로 3길 원룸촌,37.545821,127.05982,다솜로 3길 원룸촌,Y,무단투기 같기도 하고 배출일 착오 같기도 합니다.,완료,2026/06/16,10,환경관리과,010-2327-2658,19680105-2******
M0103,2026-06-07,홈페이지,마루동,마루동 마루동 일원,37.549495,127.032506,,N,몇 번째인지 모르겠습니다,완료,2026-06-16,9,주민생활지원과,010-8703-8719,19801001-1******
M0131,260805,전화,바다동,한빛구 바다동 103-9,37.564163,127.065916,,N,사업장 폐기물을 무단으로 혼합배출한 건입니다.,완료,260809,4,주민생활지원과,010-3180-1284,19940810-2******
M0189,2026-07-06,전화,라온동,라온동 라온동 일원,37.558737,127.041417,,N,종량제 봉투 아닌 걸로 버린 게 네다섯 개 됩니다. 계도라도 좀 해주세요.,완료,2026-07-14,8,주민생활지원과,010-9320-8041,20021114-1******
M0077,2026.07.28,전화,다솜동,다솜동 다솜빌라 주차장,37.545423,127.059204,다솜빌라 주차장,Y,종량제 봉투 안 쓰고 검은 비닐에 그냥 담아서 버렸습니다.,완료,2026.08.07,10,주민생활지원과,010-3568-8929,19891002-2******
M0145,260720,앱,바다동,세종특별자치시 한빛구 바다동 18로 18,37.561044,127.067213,바다공원 북측 출입로,Y,식자재 박스가 계속 나옵니다. 한두 번이 아닙니다.,완료,260726,6,청소행정과,010-3400-3862,19820925-2******
M0012,260818,방문,가온동,가온동 가온동 일원,37.550525,127.0555,,N,빈 병이랑 캔이 분리도 안 된 채로 그냥 나와 있네요,처리중,,,환경관리과,010-8497-7246,19640928-2******
M0093,2026-07-09,방문,마루동,마루동 마루경로당 앞,37.550366,127.035302,마루경로당 앞,Y,수거함이 넘쳐서 옆에 버렸다고 하는데 이게 누구 잘못인지 모르겠습니다.,완료,2026-07-20,11,청소행정과,010-6725-6660,19721220-1******
M0179,2026-07-28,국민신문고,나래동,한빛구 나래동 783-26,37.549593,127.057723,,N,업소 쓰레기 무단배출 같습니다. 확인 부탁드립니다.,완료,2026-08-01,4,환경관리과,010-5653-1529,19640110-1******
M0114,260707,국민신문고,마루동,한빛구 마루동 307-35,37.544048,127.034695,,N,출근길에 매일 보는데 아무도 안 치웁니다. 누가 담당인지 모르겠지만 한 번만 와보세요.,완료,260713,6,청소행정과,010-8622-8667,19870727-2******
M0188,2026-07-11,앱,라온동,세종특별자치시 한빛구 라온동 18로 85,37.564509,127.041688,라온천 산책로 입구,Y,수거해 가셔도 이틀이면 다시 그대로입니다. 악순환입니다.,완료,2026-07-21,10,환경관리과,010-7154-3753,19710319-1******
M0062,2026/08/12,국민신문고,다솜동,한빛구 다솜동 306-43,37.545434,127.058623,다솜로 3길 원룸촌,Y,봐주세요 부탁합니다,완료,2026/08/23,11,주민생활지원과,010-8988-9231,19910306-1******
M0029,2026.07.24,방문,가온동,가온동 가온시장 뒷골목,37.552304,127.04947,가온시장 뒷골목,Y,공사장에서 나온 폐자재가 인도에 방치돼 있습니다.,완료,2026.08.03,10,청소행정과,010-6953-7677,19870302-2******
M0180,2026-06-27,방문,나래동,세종특별자치시 한빛구 나래동 26로 11,37.560226,127.058614,,N,음식물을 종량제 용기 없이 그냥 부어놔서 냄새가 심합니다.,완료,2026-06-29,2,청소행정과,010-8392-1000,19710610-2******
M0081,2026-07-01,홈페이지,다솜동,다솜동 다솜중학교 후문,37.546931,127.061211,다솜중학교 후문,Y,요일 지키는 집만 손해 보는 것 같아요. 형평성 문제도 있습니다.,완료,2026-07-13,12,주민생활지원과,010-5445-8159,20010619-2******
M0196,2026-07-01,국민신문고,라온동,세종특별자치시 한빛구 라온동 29로 29,37.562085,127.044398,,N,배출 시간도 안 지킵니다. 아침 일찍 내놔야 하는데 밤에 내놓습니다.,완료,2026-07-04,3,환경관리과,010-9985-6999,19550802-1******
M0167,2026/08/02,앱,새벽동,한빛구 새벽동 498-13,37.54354,127.050579,,N,여기 쓰레기 좀 치워주세요 계속 쌓여요,완료,2026/08/11,9,청소행정과,010-5832-2199,20001223-2******
M0032,2026-08-10,방문,가온동,세종특별자치시 한빛구 가온동 18로 13,37.553031,127.050916,,N,수거일에 맞춰 내놨는데 저희 집 것만 안 가져갔습니다. 앞집 김서연 씨도 어제 그랬다고 하네요. 연락처는 010-2245-8830 입니다.,완료,2026-08-19,9,주민생활지원과,010-9798-5029,19760226-1******
M0008,2026-05-04,홈페이지,가온동,세종특별자치시 한빛구 가온동 24로 35,37.55255,127.048317,가온시장 뒷골목,Y,공사 자재 같기도 하고 가구 같기도 합니다. 나무 조각이 많습니다.,완료,2026-05-12,8,청소행정과,010-6558-9797,19620824-2******
M0151,260729,방문,새벽동,한빛구 새벽동 300-20,37.54626,127.053679,,N,수거함이 꽉 차서 더 넣을 데가 없습니다. 그래서 다들 옆에 쌓아둡니다.,완료,260809,11,주민생활지원과,010-6261-8365,19920425-2******
M0042,2026-07-14,방문,가온동,가온동 가온동 일원,37.553391,127.045232,,N,담배꽁초가 배수구까지 들어가서 막힐 것 같습니다. 비 오면 물 안 빠질 텐데 걱정입니다.,완료,2026-07-22,8,청소행정과,010-4174-9000,20040721-1******
M0171,2026.08.11,방문,나래동,나래동 나래아파트 상가,37.558804,127.05688,나래아파트 상가,Y,지저분해요,완료,2026.08.14,3,주민생활지원과,010-5010-2408,19760617-2******
M0111,2026/07/21,전화,마루동,마루동 마루경로당 앞,37.550223,127.035231,마루경로당 앞,Y,재활용 통이 넘칩니다. 통을 더 놓아주시면 안 될까요.,완료,2026/07/22,1,청소행정과,010-9750-1182,19740620-1******
M0186,2026.07.11,방문,나래동,세종특별자치시 한빛구 나래동 3로 44,37.559258,127.056698,나래아파트 상가,Y,아침마다 넘쳐 있습니다. 저녁 수거로 바꿀 수는 없나요.,보류,,,환경관리과,010-7724-8305,19591218-2******
M0041,2026-08-09,방문,가온동,세종특별자치시 한빛구 가온동 34로 89,37.553212,127.049461,가온시장 뒷골목,Y,여기 자꾸 버려요 안돼요 이거,완료,2026-08-19,10,환경관리과,010-9574-5851,19671111-1******
M0102,2026-06-06,앱,,세종특별자치시 한빛구 마루동 19로 16,37.549968,127.035041,마루경로당 앞,Y,수거 미이행으로 접수합니다. 재방문 요청드립니다.,보류,,,환경관리과,010-9578-6226,19670504-1******
M0033,2026.08.03,전화,가온동,가온동 가온동 일원,37.553624,127.044113,,N,건축폐기물 방치로 신고합니다. 처리 주체 확인 부탁드립니다.,완료,2026.08.15,12,주민생활지원과,010-2695-2177,19550310-2******
M0019,2026/08/19,전화,가온동,세종특별자치시 한빛구 가온동 36로 16,37.555463,127.048127,,N,반복 지점입니다. 담당자분 현장 한 번만 나와보시면 아실 겁니다.,완료,2026/09/02,14,주민생활지원과,010-3076-8273,19931014-2******
M0095,260502,국민신문고,마루동,세종특별자치시 한빛구 마루동 13로 79,37.544692,127.033154,,N,음식물 쓰레기 방치로 위생이 걱정됩니다. 아이들 통학로입니다. 조속한 조치 부탁드립니다.,완료,260514,12,청소행정과,010-6935-5757,19720413-1******
M0178,2026.08.08,홈페이지,나래동,한빛구 나래동 267-31,37.557868,127.055984,,N,사업장에서 배출한 폐기물이 생활쓰레기와 섞여 있습니다. 분리 배출 지도가 필요합니다.,완료,2026.08.11,3,청소행정과,010-9367-7393,19830805-2******
M0197,2026.08.12,앱,라온동,한빛구 라온동 436-3,37.564765,127.041767,라온천 산책로 입구,Y,처리 부탁드립니다.,보류,,,청소행정과,010-7088-3460,19651008-2******
M0001,2026/07/23,전화,가온동,세종특별자치시 한빛구 가온동 14로 82,37.55055,127.059327,,N,카페에서 나온 것 같은 원두 포대랑 컵 박스가 잔뜩입니다.,완료,2026/08/04,,주민생활지원과,010-5370-1303,19720709-1******
M0083,2026-05-30,앱,다솜동,세종특별자치시 한빛구 다솜동 37로 47,37.546214,127.0669,,N,며칠째 같은 자리에 쓰레기가 방치돼 있습니다. 지난주에도 신고했는데 또입니다. 몇 번을 말해야 합니까.,완료,2026-06-09,10,청소행정과,010-9769-5366,19630102-2******
M0026,2026-08-05,앱,가온동,세종특별자치시 한빛구 가온동 16로 26,37.552964,127.04884,가온시장 뒷골목,Y,배출일 하루 전부터 쌓아둡니다. 이틀을 길에 두는 셈입니다.,완료,2026-08-17,12,청소행정과,010-5248-6026,19920215-1******
M0112,260714,국민신문고,마루동,마루동 마루골목 상가 뒤,37.54922,127.033734,마루골목 상가 뒤,Y,소파가 인도에 나와 있습니다. 대형폐기물 신고 필증이 없습니다.,완료,260724,10,환경관리과,010-9597-6293,19830117-1******
M0184,2026-05-11,방문,나래동,나래동 나래동 일원,37.559208,127.057532,,N,상황이 안 좋습니다. 나와보셔야 할 것 같아요.,보류,,,환경관리과,010-6024-9563,19700427-1******
M0162,2026/06/02,홈페이지,새벽동,새벽동 새벽동 일원,37.543057,127.05401,,N,상습 무단투기로 신고합니다. 지난 6월에도 같은 내용으로 접수했습니다.,보류,,,환경관리과,010-6643-2158,19890222-1******
M0014,2026/07/10,국민신문고,가온동,가온동 가온시장 뒷골목,37.552796,127.048762,가온시장 뒷골목,Y,음식물쓰레기를 검은 비닐에 담아 버렸어요. 국물이 새서 바닥이 미끄럽습니다.,완료,2026/07/18,8,청소행정과,010-4556-3318,19740110-1******
M9891,2026.06.11,앱,라온동,,37.561275,127.042295,,N,이게 상습인지 이번만인지는 제가 알 수가 없습니다. 오늘 처음 봤습니다.,완료,2026.06.20,9,청소행정과,010-2245-5120,19770214-2******
M0100,2026-06-21,앱,,세종특별자치시 한빛구 마루동 13로 86,37.550308,127.035007,마루경로당 앞,Y,수거함이 부족해서 주민들이 길에 내놓습니다. 근본 원인은 함 개수라고 봅니다.,완료,2026-06-27,,주민생활지원과,010-7535-5726,19780517-2******
M0090,260712,홈페이지,다솜동,한빛구 다솜동 198-50,37.54516,127.058817,다솜빌라 주차장,Y,여기 자꾸 버려서 동네 사람들이 다 짜증내고 있어요. 대책 좀 세워주세요.,완료,260722,10,환경관리과,010-5303-9351,19560203-2******
M0200,260807,방문,라온동,세종특별자치시 한빛구 라온동 6로 73,37.563947,127.041923,라온천 산책로 입구,Y,같은 골목 같은 자리에 또 버렸습니다 단속 좀요,완료,260813,6,청소행정과,010-8213-6053,19600727-2******
M0118,2026.07.05,방문,마루동,마루동 마루동 일원,37.547213,127.034205,,N,상습은 아닌 것 같은데 이번 주 들어 두 번 봤습니다. 종량제 안 쓴 봉투입니다.,완료,2026.07.09,,주민생활지원과,010-2133-7804,19990509-1******
M0148,260727,국민신문고,새벽동,새벽동 새벽동 일원,37.543837,127.046669,,N,고질적인 자리입니다. 안내문 부착이나 계도 활동이 필요해 보입니다.,완료,260804,8,청소행정과,010-8515-8525,19840612-1******
M0098,2026.07.28,전화,마루동,세종특별자치시 한빛구 마루동 8로 43,37.550012,127.035082,마루경로당 앞,Y,음식물쓰레기가 봉투째 터져 있습니다.,완료,2026.08.05,8,환경관리과,010-4421-8241,19750120-1******
M0160,2026-07-20,앱,새벽동,새벽동 새벽동 일원,37.548592,127.051102,,N,골목 끝에 쓰레기 버리는 사람 있어요. 밤 늦게 차 세우고 던지고 갑니다.,완료,2026-07-23,3,청소행정과,010-6237-2109,19791205-1******
M0084,260816,국민신문고,다솜동,한빛구 다솜동 116-43,37.55007,127.061865,,N,어제 저녁 7시쯤 누가 자전거 타고 와서 봉투 던지고 갔습니다. CCTV 확인되면 좋겠습니다.,완료,260823,7,주민생활지원과,010-6502-6659,19951009-1******
M0129,2026.08.06,국민신문고,바다동,바다동 바다동 일원,37.561391,127.073259,,N,같은 위치 반복 민원입니다. 이전 접수번호 확인 부탁드립니다.,처리중,,,주민생활지원과,010-8040-6250,19621213-1******
M0156,2026/07/02,방문,새벽동,한빛구 새벽동 742-36,37.545176,127.051158,새벽역 2번출구 뒤편,Y,누가 밤에 트럭으로 가구를 내려놓고 갔습니다. 새벽 2시쯤이었다고 합니다.,완료,2026/07/08,6,환경관리과,010-8793-4450,20041003-1******
M0080,260808,앱,다솜동,다솜동 다솜로 3길 원룸촌,37.546082,127.060527,다솜로 3길 원룸촌,Y,함이 가득 차서 옆에 뒀는데 단속 대상이라고 합니다. 그럼 어디다 버리나요.,처리중,,-2,환경관리과,010-6298-2758,19591124-2******
M0035,2026.06.18,홈페이지,가온동,세종특별자치시 한빛구 가온동 39로 68,37.549624,127.04726,,N,전화로 설명드렸습니다. 그대로입니다.,완료,2026.06.26,8,청소행정과,010-8094-8609,19641126-2******
M0036,2026/05/27,전화,가온동,세종특별자치시 한빛구 가온동 40로 15,37.552144,127.047184,가온로 12길 일대,Y,수거함 용량이 부족한 것 같아요. 주말만 지나면 항상 넘칩니다.,완료,2026/06/07,11,환경관리과,010-8083-1516,19591004-2******
M0004,2026-08-14,앱,가온동,가온동 가온동 일원,37.556277,127.051961,,N,그 자리 아시죠? 거기입니다.,보류,,,주민생활지원과,010-6697-4501,19770416-1******
M0146,2026-08-13,앱,바다동,세종특별자치시 한빛구 바다동 39로 78,37.558705,127.065355,,N,음식물쓰레기 무단배출입니다. 냄새 때문에 창문을 못 엽니다.,완료,2026-08-20,7,주민생활지원과,010-7125-4852,19680304-2******
M0110,2026-06-05,방문,마루동,세종특별자치시 한빛구 마루동 8로 34,37.548894,127.034054,마루골목 상가 뒤,Y,치워주세요,완료,2026-06-15,10,환경관리과,010-7958-6630,19760509-1******
M0069,2026-05-03,홈페이지,다솜동,다솜동 다솜로 3길 원룸촌,37.545261,127.060164,다솜로 3길 원룸촌,Y,냉장고 한 대가 며칠째 그대로입니다.,완료,2026-05-13,10,환경관리과,010-5775-1211,19851011-1******
M0157,260509,홈페이지,새벽동,새벽동 새벽동 일원,37.552759,127.051823,,N,이 구역만 유독 그래요. 옆 골목은 깨끗한데 여기만 그렇습니다.,완료,260514,5,주민생활지원과,010-6403-7979,19700513-1******
M0143,2026-07-09,홈페이지,바다동,세종특별자치시 한빛구 바다동 20로 3,37.559982,127.069112,,N,분리수거함이 꽉 차서 다들 그 옆에 쌓아둡니다. 상가 주인 최동해 씨도 같은 말을 하더군요. 010-3367-9021 이라고 적어두고 갔습니다.,완료,2026-07-10,1,환경관리과,010-9841-1420,19561212-2******
