민원ID,접수일,처리일,처리상태,행정동,주소,위도,경도,민원내용,접수채널,담당부서,처리결과,신고자연락처,신고자생년,반복신고여부,비고
D1044,2026-02-21,2026-02-24,완료,들녘동,새올구 들녘동 들녘로 5길 19,37.553734,126.955588,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,구청 홈페이지,환경위생과,현장 정비,010-8275-4818,640802,N,
D1122,2025-09-20,2025-10-01,완료,물결동,물결동 하천 산책로 입구,37.551618,126.947556,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,국민신문고,환경위생과,현장 정비,010-9990-2043,700614,Y,
D1037,2025년 11월 9일,2025년 11월 11일,완료,바람동,바람동 공영주차장 경계,37.527511,126.934823,냉장고 한 대가 일주일째 그대로 서 있습니다,국민신문고,자원순환과,수거 완료,010-8488-2688,840824,Y,
D1031,2025-12-17,,처리중,노을동,새올구 노을동 노을로 13길 45,37.562455,126.911901,빨리 좀 치워 주세요,방문,환경위생과,,010-1498-3949,960428,N,
D1040,2026/04/11,2026/04/16,완료,별빛동,새올구 별빛동 723-35번지,37.55704,126.922999,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,국민신문고,환경위생과,현장 정비,010-6690-6504,640405,N,
D1066,2026/02/07,2026/02/21,완료,별빛동,별빛동 상가 이면도로,37.540258,126.917444,분리수거함이 넘쳐서 주변 바닥까지 쌓였습니다,국민신문고,환경위생과,과태료 부과,010-4957-8266,800912,N,
D1138,2026년 7월 12일,2026년 7월 31일,완료,노을동,새올구 노을동 노을로 1길 81,37.566391,126.925537,유리병과 캔이 종이류와 함께 묶여 있어 수거가 안 됩니다,전화,환경위생과,계도 조치,010-9778-3734,950521,N,
D1138,2026년 7월 12일,2026년 7월 31일,완료,노을동,새올구 노을동 노을로 1길 81,37.566391,126.925537,유리병과 캔이 종이류와 함께 묶여 있어 수거가 안 됩니다,전화,환경위생과,계도 조치,010-9778-3734,950521,N,
D1175,2026-08-30,,처리중,별빛동,새올구 별빛동 370-30번지,37.548257,126.920866,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,모바일앱,환경위생과,,010-4431-9529,680912,N,
D1009,2026-03-21,,접수,물결동,물결동 전통시장 주차장,37.54054,126.958767,분리수거함이 넘쳐서 주변 바닥까지 쌓였습니다,구청 홈페이지,환경위생과,,010-9027-6837,660811,N,
D9006,2026/07/24,2026/07/27,완료,별빛동,별빛동 고가교 하부,37.55709,126.923375,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-3574-5770,800708,Y,
D1127,2026년 5월 18일,2026년 6월 1일,완료,햇살동,새올구 햇살동 376-36번지,37.560241,126.935241,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-7770-4204,610810,N,
D1062,2026-07-26,2026-07-29,완료,숲길동,새올구 숲길동 212-27번지,37.559478,126.936438,장롱과 책상이 스티커 없이 버려져 통행에 방해가 됩니다,전화,자원순환과,계도 조치,010-4623-9112,740209,N,
D1052,2026-04-27,2026-05-03,완료,별빛동,새올구 별빛동 별빛로 12길 22,37.551091,126.929582,수거함 문이 닫히지 않을 만큼 차 있는데 며칠째 수거가 안 됩니다,구청 홈페이지,환경위생과,계도 조치,010-1785-1449,880327,N,
D1004,2026-06-22,,접수,들녘동,새올구 들녘동 들녘로 24길 16,37.531623,126.941628,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다,국민신문고,환경위생과,,010-6852-2695,660419,N,
D1032,25.09.03,25.09.08,완료,물결동,새올구 물결동 물결로 18길 57,37.548415,126.97055,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,전화,환경위생과,현장 정비,010-1595-3787,830813,N,
D1110,26.07.05,26.07.10,완료,별빛동,새올구 별빛동 별빛로 16길 48,,,냉장고 한 대가 일주일째 그대로 서 있습니다,구청 홈페이지,자원순환과,현장 정비,010-7688-4933,580326,N,좌표 미확인
D1035,26.06.16,,접수,,새올구 바람동 바람로 2길 44,37.530774,126.923374,냄새가 너무 심합니다,전화,환경위생과,,010-6841-7334,750301,N,
D1104,2026-02-15,,접수,들녘동,새올구 들녘동 619-10번지,37.538933,126.932513,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,전화,환경위생과,,010-1592-7020,950222,Y,
D1048,2026/01/26,,처리중,노을동,새올구 노을동 노을로 9길 47,37.555947,126.921396,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,전화,환경위생과,,010-9703-5791,701123,N,
D1041,2026-06-21,2026-06-24,완료,별빛동,별빛동 일대,37.540501,126.934457,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,국민신문고,환경위생과,계도 조치,010-9589-9346,770307,N,
D9002,2026-02-25,2026-03-03,완료,노을동,새올구 노을동 노을로 24길 72,37.555324,126.893565,박스와 스티로폼이 분리되지 않은 채 쌓여 있습니다,전화,환경위생과,과태료 부과,010-4110-7812,000128,N,
D1069,2026-04-05,2026-04-09,완료,노을동,새올구 노을동 692-37번지,37.555853,126.902553,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다,전화,환경위생과,수거 후 안내문 부착,010-6741-2452,990302,N,
D1192,2026-03-15,2026-03-18,완료,바람동,새올구 바람동 바람로 24길 33,37.538288,126.937516,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다,전화,환경위생과,계도 조치,010-5003-3984,941011,N,
D1007,2026-07-24,2026-07-26,완료,바람동,새올구 바람동 845-34번지,37.520298,126.936875,박스와 스티로폼이 분리되지 않은 채 쌓여 있습니다,구청 홈페이지,환경위생과,과태료 부과,010-8579-8416,550720,N,
D1145,2026-01-13,2026-01-22,완료,별빛동,새올구 별빛동 120-15번지,37.556837,126.923481,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다,국민신문고,환경위생과,수거 후 안내문 부착,010-4063-6356,801012,Y,
D1117,26.01.25,26.01.27,완료,햇살동,새올구 햇살동 438-37번지,37.566858,126.938903,유리병과 캔이 종이류와 함께 묶여 있어 수거가 안 됩니다,국민신문고,환경위생과,계도 조치,010-2567-9689,860421,Y,
D9007,2026/02/10,,접수,노을동,새올구 노을동 노을로 2길 85,37.56618,126.89826,장롱과 책상이 스티커 없이 버려져 통행에 방해가 됩니다,모바일앱,자원순환과,,010-7064-8725,820323,N,
D1177,2026-06-04,2026-06-10,완료,별빛동,별빛동 상가 이면도로,37.540599,126.91765,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다,전화,환경위생과,과태료 부과,010-9613-8007,720709,Y,
D1042,2026년 5월 31일,2026년 6월 2일,완료,별빛동,새올구 별빛동 별빛로 11길 69,37.551255,126.902809,밤마다 같은 자리에 봉투가 쌓이는데 낮에는 아무도 없습니다,모바일앱,환경위생과,계도 조치,010-5521-4819,870121,N,
D1056,26.04.01,,처리중,숲길동,새올구 숲길동 134-23번지,37.556268,126.936106,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,전화,환경위생과,,010-6028-6679,570605,N,
D1050,2026/05/25,2026/05/29,완료,노을동,새올구 노을동 254-27번지,37.55776,126.913396,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,국민신문고,환경위생과,계도 조치,010-8210-9012,950215,Y,
D1174,2026-01-13,2026-01-17,완료,별빛동,새올구 별빛동 520-40번지,37.537321,126.907386,,전화,자원순환과,계도 조치,010-3265-8030,830810,N,
D1154,26.08.17,26.08.22,완료,노을동,새올구 노을동 610-29번지,37.545881,126.910496,냄새가 너무 심합니다,전화,환경위생과,수거 후 안내문 부착,010-9850-2144,671206,Y,
D1160,2026-07-20,2026-08-08,완료,별빛동,새올구 별빛동 별빛로 9길 28,37.547779,126.939421,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,국민신문고,환경위생과,과태료 부과,010-1970-7733,601023,N,
D1039,2026/08/23,2026/08/26,완료,별빛동,새올구 별빛동 별빛로 17길 19,37.551728,126.939464,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,전화,환경위생과,현장 정비,010-8387-1870,740711,N,
D1168,2026-05-23,2026-06-11,완료,노을동,새올구 노을동 273-8번지,37.54583,126.910447,,전화,자원순환과,수거 완료,010-4542-3023,791216,N,
D1078,2026년 1월 26일,2026년 1월 27일,완료,별빛동,별빛동 재래시장 뒤 골목,37.554126,126.913965,냉장고 한 대가 일주일째 그대로 서 있습니다,구청 홈페이지,자원순환과,수거 후 안내문 부착,010-2213-5690,590905,N,
D1058,25.10.28,25.10.26,완료,햇살동,햇살동 마을버스 종점,37.567157,126.938865,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,전화,자원순환과,수거 완료,010-3530-7210,970309,N,
D1146,2025-09-25,2025-09-27,완료,별빛동,별빛동 원룸촌 클린하우스,37.543384,126.92638,장롱과 책상이 스티커 없이 버려져 통행에 방해가 됩니다,모바일앱,자원순환과,수거 후 안내문 부착,010-3337-7120,550228,Y,
D1054,2026-01-16,2026-01-21,완료,숲길동,새올구 숲길동 숲길로 19길 69,37.556123,126.899971,장롱과 책상이 스티커 없이 버려져 통행에 방해가 됩니다,구청 홈페이지,자원순환과,현장 정비,010-1652-1356,980319,N,
D1045,2025-12-25,2025-12-27,완료,,새올구 들녘동 731-38번지,37.546492,126.94219,페트병에 내용물이 남은 채로 다른 재활용품과 섞여 있습니다,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-4515-1842,570928,N,
D1143,2026년 5월 18일,,처리중,숲길동,새올구 숲길동 숲길로 23길 33,37.570769,126.925412,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다,전화,환경위생과,,010-8104-6388,900622,N,
D1162,2026-03-28,2026-04-11,완료,별빛동,새올구 별빛동 별빛로 14길 38,,,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,국민신문고,자원순환과,수거 완료,010-6668-6255,550812,Y,좌표 미확인
D1046,2026-07-23,2026-07-24,완료,별빛동,별빛동 고가교 하부,37.556956,126.923157,또 그 자리입니다,모바일앱,자원순환과,수거 완료,010-9544-2987,941103,Y,
D1085,2026-07-29,2026-08-05,완료,별빛동,별빛동 근린공원 후문,37.551154,126.929561,규격 봉투를 안 쓰고 마대에 담아 그대로 내놨습니다,방문,환경위생과,과태료 부과,010-5693-7599,741225,N,
D1186,2026-07-01,,접수,노을동,노을동 버스 회차지 옆,37.54593,126.910713,밤마다 같은 자리에 봉투가 쌓이는데 낮에는 아무도 없습니다,모바일앱,환경위생과,,010-5278-8716,591022,N,
D1019,2026/01/13,2026/01/19,완료,별빛동,별빛동 일대,37.544596,126.906949,수거함 문이 닫히지 않을 만큼 차 있는데 며칠째 수거가 안 됩니다,전화,환경위생과,계도 조치,010-9271-2036,570715,N,
D1081,2026-01-25,,접수,노을동,노을동 일대,37.562811,126.893786,냉장고 한 대가 일주일째 그대로 서 있습니다,방문,자원순환과,,010-6321-6182,890504,N,
D1119,2026-06-16,,처리중,물결동,새올구 물결동 물결로 22길 46,37.558582,126.95682,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,구청 홈페이지,환경위생과,,010-7271-8656,860515,N,
D1013,2026년 5월 10일,2026년 5월 17일,완료,별빛동,별빛동 근린공원 후문,37.551023,126.929459,장롱과 책상이 스티커 없이 버려져 통행에 방해가 됩니다,모바일앱,자원순환과,계도 조치,010-4911-8049,741122,Y,
D1153,2025-09-13,2025-09-19,완료,햇살동,새올구 햇살동 858-22번지,37.545776,126.94865,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,모바일앱,환경위생과,과태료 부과,010-3717-1732,610925,N,
D1144,26.03.02,26.03.05,완료,별빛동,새올구 별빛동 별빛로 2길 37,37.543198,126.926222,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,국민신문고,환경위생과,수거 후 안내문 부착,010-2890-5849,030713,Y,
D1176,2026-05-14,2026-05-17,완료,별빛동,새올구 별빛동 630-24번지,37.533822,126.930087,또 그 자리입니다,전화,환경위생과,수거 완료,010-5505-2881,890918,N,
D1060,2026-06-18,2026-06-20,완료,별빛동,별빛동 원룸촌 클린하우스,37.542935,126.926459,너무 지저분합니다,구청 홈페이지,환경위생과,계도 조치,010-3536-8256,910813,N,
D1185,2026년 7월 11일,2026년 7월 13일,완료,들녘동,새올구 들녘동 들녘로 23길 32,37.553451,126.960712,수거함 옆에 종량제 봉투가 열 개 넘게 쌓여 있습니다,전화,환경위생과,수거 후 안내문 부착,010-6792-7094,871012,N,
D1093,2026/02/06,2026/02/09,완료,바람동,새올구 바람동 바람로 16길 72,37.523774,126.946429,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,구청 홈페이지,환경위생과,현장 정비,010-6647-1214,870425,N,
D1181,2025-09-12,2025-09-14,완료,노을동,새올구 노을동 노을로 5길 62,37.541026,126.898351,종량제 봉투가 아닌 일반 비닐봉지에 음식물까지 섞어서 버려 놨습니다,국민신문고,환경위생과,수거 후 안내문 부착,010-2001-1791,621015,N,
D1098,25.11.13,25.11.17,완료,바람동,새올구 바람동 731-33번지,37.531038,126.91852,냉장고 한 대가 일주일째 그대로 서 있습니다,구청 홈페이지,자원순환과,현장 정비,010-9050-6333,550913,N,
D1182,2026/06/21,2026/06/22,완료,물결동,새올구 물결동 661-23번지,37.537485,126.947201,규격 봉투를 안 쓰고 마대에 담아 그대로 내놨습니다,국민신문고,환경위생과,현장 정비,010-1625-9471,570414,N,
D1113,2026/08/07,2026/08/10,완료,숲길동,새올구 숲길동 숲길로 16길 26,37.552321,126.903832,수거함 문이 닫히지 않을 만큼 차 있는데 며칠째 수거가 안 됩니다,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-1320-6002,580527,N,
D1121,2026년 6월 10일,2026년 6월 17일,완료,바람동,새올구 바람동 208-33번지,37.52749,126.935296,냉장고 한 대가 일주일째 그대로 서 있습니다,전화,자원순환과,수거 완료,010-3580-2241,550615,Y,
D1047,2026-06-09,2026-06-12,완료,별빛동,별빛동 근린공원 후문,37.550956,126.929788,분리수거함이 넘쳐서 주변 바닥까지 쌓였습니다,국민신문고,환경위생과,계도 조치,010-5067-4116,811016,Y,
D1006,2026-01-06,2026-01-09,완료,들녘동,들녘동 먹자골목 뒤편,37.543944,126.935886,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,전화,환경위생과,현장 정비,010-1945-6282,641213,Y,
D1141,2026-04-09,2026-04-11,완료,숲길동,새올구 숲길동 750-21번지,37.566669,126.913576,페트병에 내용물이 남은 채로 다른 재활용품과 섞여 있습니다,전화,환경위생과,수거 후 안내문 부착,010-5375-7876,680312,N,
D1108,2026-04-29,2026-05-03,완료,바람동,새올구 바람동 바람로 1길 39,37.534579,126.928008,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,모바일앱,환경위생과,현장 정비,010-2524-4120,830424,N,
D1027,2026/06/26,,처리중,노을동,새올구 노을동 노을로 16길 57,37.554401,126.899432,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,모바일앱,환경위생과,,010-9220-5088,610905,N,
D1010,2026-02-20,2026-02-23,완료,햇살동,새올구 햇살동 햇살로 15길 2,,,또 그 자리입니다,모바일앱,환경위생과,과태료 부과,010-8383-9264,670226,N,좌표 미확인
D1002,2026-03-27,2026-04-03,완료,들녘동,새올구 들녘동 587-19번지,37.539122,126.960631,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,전화,자원순환과,현장 정비,010-9794-3026,841224,N,
D1053,26.03.28,26.04.03,완료,노을동,노을동 빌라 단지 진입로,37.554627,126.899424,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,방문,환경위생과,현장 정비,010-8443-3613,940613,Y,
D1091,2025-10-28,2025-10-31,완료,햇살동,햇살동 마을버스 종점,37.567151,126.939193,박스와 스티로폼이 분리되지 않은 채 쌓여 있습니다,구청 홈페이지,환경위생과,수거 완료,010-1570-9774,670416,N,
D1087,2026-05-05,,처리중,숲길동,숲길동 일대,37.581338,126.913609,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,국민신문고,환경위생과,,010-2942-6752,790528,N,
D1025,26.04.18,26.04.19,완료,숲길동,새올구 숲길동 숲길로 17길 60,37.57427,126.899545,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,국민신문고,환경위생과,수거 후 안내문 부착,010-7759-6512,980417,N,
D1002,2026-03-27,2026-04-03,완료,들녘동,새올구 들녘동 587-19번지,37.539122,126.960631,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,전화,자원순환과,현장 정비,010-9794-3026,841224,N,
D1100,2026-01-07,2026-01-11,완료,햇살동,새올구 햇살동 햇살로 19길 42,37.571054,126.948462,확인 바랍니다,전화,환경위생과,과태료 부과,010-7612-9112,550119,N,
D1021,2026-07-08,2026-07-09,완료,별빛동,별빛동 재래시장 뒤 골목,37.554385,126.913804,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,모바일앱,환경위생과,계도 조치,010-7891-3265,920701,Y,
D1105,2026-01-25,,처리중,노을동,노을동 대학가 원룸 밀집지,37.557502,126.91343,상가에서 나온 폐식용유 통과 박스가 매일 같은 자리에 쌓입니다,구청 홈페이지,환경위생과,,010-2727-5820,811228,Y,
D1189,2026-07-29,2026-08-01,완료,별빛동,새올구 별빛동 별빛로 16길 77,37.554169,126.913614,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,전화,환경위생과,수거 후 안내문 부착,010-6674-2047,900422,N,
D1094,2026-04-01,2026-04-04,완료,별빛동,별빛동 재래시장 뒤 골목,37.553982,126.914083,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,국민신문고,환경위생과,과태료 부과,010-8804-8498,780910,Y,
D1188,2025/09/30,2025/10/05,완료,별빛동,별빛동 원룸촌 클린하우스,37.543487,126.926404,유리병과 캔이 종이류와 함께 묶여 있어 수거가 안 됩니다,국민신문고,환경위생과,수거 후 안내문 부착,010-5276-1778,600806,Y,
