민원ID,접수일,처리일,처리상태,행정동,주소,위도,경도,민원내용,접수채널,담당부서,처리결과,신고자연락처,신고자생년,반복신고여부,비고
D1115,2026/03/28,,처리중,숲길동,숲길동 초등학교 담장길,37.560258,126.915218,음식물쓰레기를 그냥 봉지에 담아 뒀는데 벌레가 꼬입니다.,전화,환경위생과,,010-1035-9513,740412,Y,
D1003,2025-09-13,2025-09-17,완료,별빛동,새올구 별빛동 592-38번지,37.540422,126.917426,규격 봉투 아닌 걸로 계속 버리는 집이 있는 것 같습니다.,구청 홈페이지,환경위생과,과태료 부과,010-9967-5499,840103,Y,
D1082,2026-02-20,2026-02-23,완료,,새올구 노을동 노을로 9길 49,37.544798,126.907322,"대형폐기물 무단배출입니다. 소파 한 개, 의자 두 개입니다.",전화,자원순환과,계도 조치,010-5066-5901,831111,N,
D1124,2025-11-19,,처리중,노을동,새올구 노을동 704-39번지,,,처리 요망,방문,환경위생과,,010-7928-3446,741116,N,좌표 미확인
D1131,2025/11/22,2025/11/23,완료,들녘동,새올구 들녘동 들녘로 13길 85,37.539263,126.950919,어제도 그랬습니다,국민신문고,환경위생과,수거 후 안내문 부착,010-6894-2883,020210,N,
D1072,2025-10-17,2025-10-31,완료,숲길동,새올구 숲길동 숲길로 1길 22,37.574441,126.913529,종량제 봉투가 아닌 일반 비닐에 담아 그대로 내놨습니다.,모바일앱,환경위생과,과태료 부과,010-9339-4920,970627,N,
D1139,2025-10-05,2025-10-14,완료,노을동,노을동 대학가 원룸 밀집지,37.557794,126.91375,수거함이 넘쳐서 옆에 쌓였습니다. 통장 윤미래입니다. 010-3319-6628 로 회신 주세요.,구청 홈페이지,환경위생과,계도 조치,010-6454-2657,870614,N,
D9001,2026-01-11,,접수,들녘동,새올구 들녘동 826-23번지,37.553075,126.94239,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다.,구청 홈페이지,환경위생과,,010-9948-1530,600411,N,
D1140,2025년 10월 30일,2025년 11월 3일,완료,별빛동,별빛동 재래시장 뒤 골목,37.554191,126.913984,클린하우스 관리가 안 되는 것 같습니다. 주 2회로는 부족해 보입니다.,전화,환경위생과,과태료 부과,010-3655-1070,780210,Y,
D1157,2026-03-23,2026-03-30,완료,물결동,새올구 물결동 물결로 11길 3,37.533612,126.952388,야간 투기가 계속됩니다. 이번 달만 네 번째 신고입니다.,모바일앱,환경위생과,과태료 부과,010-6121-3679,910117,Y,
D1073,2026-06-08,2026-06-17,완료,별빛동,새올구 별빛동 별빛로 21길 26,37.540595,126.939383,일반 비닐봉지 쓰레기가 어제 저녁부터 그대로입니다.,전화,환경위생과,수거 완료,010-6108-6988,660827,Y,
D1074,2026/03/12,2026/03/21,완료,바람동,바람동 공영주차장 경계,37.527795,126.935427,민원 접수,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-4756-3218,641013,N,
D1184,2026년 5월 18일,2026년 5월 22일,완료,물결동,새올구 물결동 물결로 6길 37,37.555533,126.947187,수거함 문이 닫히지 않을 만큼 차 있는데 며칠째 수거가 안 됩니다.,국민신문고,환경위생과,현장 정비,010-5918-5054,930615,N,
D1059,25.10.30,25.11.05,완료,들녘동,들녘동 먹자골목 뒤편,37.543806,126.935762,책상이 골목 입구를 막고 있어 차량 통행이 어렵습니다. 조속한 처리 바랍니다.,구청 홈페이지,자원순환과,과태료 부과,010-9875-1533,660626,N,
D1166,2026년 3월 9일,2026년 3월 15일,완료,들녘동,새올구 들녘동 482-23번지,37.52471,126.960229,소파 치워주세요 벌써 열흘째입니다,구청 홈페이지,자원순환과,과태료 부과,010-5533-4217,980114,N,
D1164,26.07.14,26.07.21,완료,숲길동,숲길동 아파트 후문 수거함,37.570745,126.925217,가게 쓰레기를 주택가에 버리는 건 반칙 아닌가요,구청 홈페이지,환경위생과,과태료 부과,010-9234-7062,740722,N,
D1043,2026-05-07,2026-05-10,완료,바람동,새올구 바람동 바람로 2길 2,37.527491,126.946492,일반 비닐에 담아 놓은 게 찢어져서 내용물이 다 흩어졌습니다.,전화,환경위생과,수거 후 안내문 부착,010-1964-4345,760823,N,
D1180,2026-01-17,,처리중,햇살동,새올구 햇살동 548-6번지,37.571547,126.935223,심야 시간대 무단투기로 신고합니다. CCTV 확인 부탁드립니다.,구청 홈페이지,환경위생과,,010-9142-9134,910915,Y,
D1190,2025/12/05,2025/12/10,완료,별빛동,별빛동 재래시장 뒤 골목,37.554453,126.913903,수거함 근처에 적치된 게 통행을 막습니다.,구청 홈페이지,환경위생과,계도 조치,010-2791-6908,041023,Y,
D1076,2026-08-31,2026-08-31,완료,노을동,노을동 빌라 단지 진입로,37.554107,126.899699,서랍장이 인도 한복판에 있습니다 좀 치워주세요,구청 홈페이지,자원순환과,수거 완료,010-6084-4502,810114,Y,
D1044,2026-02-21,2026-02-24,완료,들녘동,새올구 들녘동 들녘로 5길 19,37.553734,126.955588,혼합배출 건입니다. 지난주에도 같은 자리였습니다.,구청 홈페이지,환경위생과,현장 정비,010-8275-4818,640802,N,
D1122,2025-09-20,2025-10-01,완료,물결동,물결동 하천 산책로 입구,37.551618,126.947556,야간 무단투기 반복 지점입니다. 지난달에도 접수했습니다.,국민신문고,환경위생과,현장 정비,010-9990-2043,700614,Y,
D1037,2025년 11월 9일,2025년 11월 11일,완료,바람동,바람동 공영주차장 경계,37.527511,126.934823,장식장이 계단 옆에 기대어 있어 넘어질까 걱정됩니다.,국민신문고,자원순환과,수거 완료,010-8488-2688,840824,Y,
D1031,2025-12-17,,처리중,노을동,새올구 노을동 노을로 13길 45,37.562455,126.911901,어떻게 안 될까요,방문,환경위생과,,010-1498-3949,960428,N,
D1040,2026/04/11,2026/04/16,완료,별빛동,새올구 별빛동 723-35번지,37.55704,126.922999,종량제 미사용 배출로 신고합니다. 계도 부탁드립니다.,국민신문고,환경위생과,현장 정비,010-6690-6504,640405,N,
D1066,2026/02/07,2026/02/21,완료,별빛동,별빛동 상가 이면도로,37.540258,126.917444,수거함이 꽉 차서 다들 옆에 두고 갑니다. 주민 탓만 하기는 어려울 것 같아요.,국민신문고,환경위생과,과태료 부과,010-4957-8266,800912,N,
D1138,2026년 7월 12일,2026년 7월 31일,완료,노을동,새올구 노을동 노을로 1길 81,37.566391,126.925537,종이류 묶음에 비닐 테이프가 잔뜩입니다.,전화,환경위생과,계도 조치,010-9778-3734,950521,N,
D1138,2026년 7월 12일,2026년 7월 31일,완료,노을동,새올구 노을동 노을로 1길 81,37.566391,126.925537,종이류 묶음에 비닐 테이프가 잔뜩입니다.,전화,환경위생과,계도 조치,010-9778-3734,950521,N,
D1175,2026-08-30,,처리중,별빛동,새올구 별빛동 370-30번지,37.548257,126.920866,밤마다 반복됩니다. 주민들이 다 알고 있는 자리입니다.,모바일앱,환경위생과,,010-4431-9529,680912,N,
D1009,2026-03-21,,접수,물결동,물결동 전통시장 주차장,37.54054,126.958767,클린하우스가 포화 상태입니다. 더 넣을 자리가 없어요.,구청 홈페이지,환경위생과,,010-9027-6837,660811,N,
D9006,2026/07/24,2026/07/27,완료,별빛동,별빛동 고가교 하부,37.55709,126.923375,카페 앞 쓰레기가 한두 번이 아닙니다. 몇 번을 말해야 합니까.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-3574-5770,800708,Y,
D1127,2026년 5월 18일,2026년 6월 1일,완료,햇살동,새올구 햇살동 376-36번지,37.560241,126.935241,종량제 봉투가 아닌 검은 봉지가 다섯 개쯤 됩니다.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-7770-4204,610810,N,
D1062,2026-07-26,2026-07-29,완료,숲길동,새올구 숲길동 212-27번지,37.559478,126.936438,책상이랑 의자가 버려져 있는데 수거 표시가 없습니다.,전화,자원순환과,계도 조치,010-4623-9112,740209,N,
D1052,2026-04-27,2026-05-03,완료,별빛동,새올구 별빛동 별빛로 12길 22,37.551091,126.929582,클린하우스 앞에 쌓인 게 버린 건지 넣으려다 못 넣은 건지 모르겠습니다.,구청 홈페이지,환경위생과,계도 조치,010-1785-1449,880327,N,
D1004,2026-06-22,,접수,들녘동,새올구 들녘동 들녘로 24길 16,37.531623,126.941628,밤마다 같은 자리에 봉투가 쌓이는데 낮에는 아무도 없습니다.,국민신문고,환경위생과,,010-6852-2695,660419,N,
D1032,25.09.03,25.09.08,완료,물결동,새올구 물결동 물결로 18길 57,37.548415,126.97055,마대 두 개가 화단 옆에 서 있습니다.,전화,환경위생과,현장 정비,010-1595-3787,830813,N,
D1110,26.07.05,26.07.10,완료,별빛동,새올구 별빛동 별빛로 16길 48,,,장롱이랑 책상이 버려져 통행에 방해가 됩니다.,구청 홈페이지,자원순환과,현장 정비,010-7688-4933,580326,N,좌표 미확인
D1035,26.06.16,,접수,,새올구 바람동 바람로 2길 44,37.530774,126.923374,봐주세요,전화,환경위생과,,010-6841-7334,750301,N,
D1104,2026-02-15,,접수,들녘동,새올구 들녘동 619-10번지,37.538933,126.932513,종량제 안 쓰고 버린 게 며칠째 그대로입니다,전화,환경위생과,,010-1592-7020,950222,Y,
D1048,2026/01/26,,처리중,노을동,새올구 노을동 노을로 9길 47,37.555947,126.921396,마대랑 비닐이 섞여서 나와 있어요. 정리가 안 됩니다.,전화,환경위생과,,010-9703-5791,701123,N,
D1041,2026-06-21,2026-06-24,완료,별빛동,별빛동 일대,37.540501,126.934457,혼합배출된 쓰레기가 인도를 막고 있습니다. 통행 불편합니다.,국민신문고,환경위생과,계도 조치,010-9589-9346,770307,N,
D9002,2026-02-25,2026-03-03,완료,노을동,새올구 노을동 노을로 24길 72,37.555324,126.893565,페트병 수십 개가 한데 뭉쳐 있습니다. 압축도 안 했습니다.,전화,환경위생과,과태료 부과,010-4110-7812,000128,N,
D1069,2026-04-05,2026-04-09,완료,노을동,새올구 노을동 692-37번지,37.555853,126.902553,밤 열두 시 넘어서 버립니다. 상습입니다.,전화,환경위생과,수거 후 안내문 부착,010-6741-2452,990302,N,
D1192,2026-03-15,2026-03-18,완료,바람동,새올구 바람동 바람로 24길 33,37.538288,126.937516,새벽에 버리는 사람을 봤는데 말릴 수가 없었습니다. 무서워서요.,전화,환경위생과,계도 조치,010-5003-3984,941011,N,
D1007,2026-07-24,2026-07-26,완료,바람동,새올구 바람동 845-34번지,37.520298,126.936875,박스랑 스티로폼이 인도 절반을 차지했습니다. 통행 불편합니다.,구청 홈페이지,환경위생과,과태료 부과,010-8579-8416,550720,N,
D1145,2026-01-13,2026-01-22,완료,별빛동,새올구 별빛동 120-15번지,37.556837,126.923481,심야에 쌓인 쓰레기를 아침에 주민들이 치우고 있습니다. 이게 맞나요.,국민신문고,환경위생과,수거 후 안내문 부착,010-4063-6356,801012,Y,
D1117,26.01.25,26.01.27,완료,햇살동,새올구 햇살동 438-37번지,37.566858,126.938903,종이류에 비닐이 섞여 있습니다,국민신문고,환경위생과,계도 조치,010-2567-9689,860421,Y,
D9007,2026/02/10,,접수,노을동,새올구 노을동 노을로 2길 85,37.56618,126.89826,냉장고를 버리려면 스티커를 붙여야 하는 걸로 아는데 그냥 뒀네요.,모바일앱,자원순환과,,010-7064-8725,820323,N,
D1177,2026-06-04,2026-06-10,완료,별빛동,별빛동 상가 이면도로,37.540599,126.91765,야간 투기로 아침마다 골목이 엉망입니다. 출근길에 봅니다.,전화,환경위생과,과태료 부과,010-9613-8007,720709,Y,
D1042,2026년 5월 31일,2026년 6월 2일,완료,별빛동,새올구 별빛동 별빛로 11길 69,37.551255,126.902809,새벽마다 그럽니다 단속 좀 해주세요,모바일앱,환경위생과,계도 조치,010-5521-4819,870121,N,
D1056,26.04.01,,처리중,숲길동,새올구 숲길동 134-23번지,37.556268,126.936106,카페에서 나온 원두 포대가 잔뜩입니다.,전화,환경위생과,,010-6028-6679,570605,N,
D1050,2026/05/25,2026/05/29,완료,노을동,새올구 노을동 254-27번지,37.55776,126.913396,새벽에 소리가 나서 나가 보니 누가 버리고 가더군요.,국민신문고,환경위생과,계도 조치,010-8210-9012,950215,Y,
D1174,2026-01-13,2026-01-17,완료,별빛동,새올구 별빛동 520-40번지,37.537321,126.907386,,전화,자원순환과,계도 조치,010-3265-8030,830810,N,
D1154,26.08.17,26.08.22,완료,노을동,새올구 노을동 610-29번지,37.545881,126.910496,빨리 좀 치워 주세요,전화,환경위생과,수거 후 안내문 부착,010-9850-2144,671206,Y,
D1160,2026-07-20,2026-08-08,완료,별빛동,새올구 별빛동 별빛로 9길 28,37.547779,126.939421,식당 쓰레기로 보이는 것이 며칠째 그대로입니다. 지난주에도 신고했습니다.,국민신문고,환경위생과,과태료 부과,010-1970-7733,601023,N,
D1039,2026/08/23,2026/08/26,완료,별빛동,새올구 별빛동 별빛로 17길 19,37.551728,126.939464,상가 건물 옆에 폐기물이 계속 쌓입니다. 수거 계약을 안 한 것 같아요.,전화,환경위생과,현장 정비,010-8387-1870,740711,N,
D1168,2026-05-23,2026-06-11,완료,노을동,새올구 노을동 273-8번지,37.54583,126.910447,,전화,자원순환과,수거 완료,010-4542-3023,791216,N,
D1078,2026년 1월 26일,2026년 1월 27일,완료,별빛동,별빛동 재래시장 뒤 골목,37.554126,126.913965,옷장이 통째로 나와 있어서 차가 못 지나갑니다. 급합니다.,구청 홈페이지,자원순환과,수거 후 안내문 부착,010-2213-5690,590905,N,
D1058,25.10.28,25.10.26,완료,햇살동,햇살동 마을버스 종점,37.567157,126.938865,냉장고 문이 열린 채로 있어서 아이들이 들어갈까 무섭습니다.,전화,자원순환과,수거 완료,010-3530-7210,970309,N,
D1146,2025-09-25,2025-09-27,완료,별빛동,별빛동 원룸촌 클린하우스,37.543384,126.92638,침대 프레임이 인도에 누워 있어요. 지나가기 힘듭니다.,모바일앱,자원순환과,수거 후 안내문 부착,010-3337-7120,550228,Y,
D1054,2026-01-16,2026-01-21,완료,숲길동,새올구 숲길동 숲길로 19길 69,37.556123,126.899971,냉장고 한 대가 일주일째 그대로 서 있습니다.,구청 홈페이지,자원순환과,현장 정비,010-1652-1356,980319,N,
D1045,2025-12-25,2025-12-27,완료,,새올구 들녘동 731-38번지,37.546492,126.94219,캔 안에 담배꽁초가 들어 있습니다. 이건 재활용이 안 됩니다.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-4515-1842,570928,N,
D1143,2026년 5월 18일,,처리중,숲길동,새올구 숲길동 숲길로 23길 33,37.570769,126.925412,새벽 네 시경이라고 합니다. 경비 아저씨가 봤다고 하네요.,전화,환경위생과,,010-8104-6388,900622,N,
D1162,2026-03-28,2026-04-11,완료,별빛동,새올구 별빛동 별빛로 14길 38,,,소파와 매트리스를 스티커 없이 길가에 내놨습니다.,국민신문고,자원순환과,수거 완료,010-6668-6255,550812,Y,좌표 미확인
D1046,2026-07-23,2026-07-24,완료,별빛동,별빛동 고가교 하부,37.556956,126.923157,몇 번째인지 모르겠습니다,모바일앱,자원순환과,수거 완료,010-9544-2987,941103,Y,
D1085,2026-07-29,2026-08-05,완료,별빛동,별빛동 근린공원 후문,37.551154,126.929561,마대에 담긴 쓰레기 치워주세요 며칠 됐어요,방문,환경위생과,과태료 부과,010-5693-7599,741225,N,
D1186,2026-07-01,,접수,노을동,노을동 버스 회차지 옆,37.54593,126.910713,야간에만 쓰레기가 생깁니다. 아침에 보면 늘 그대로예요.,모바일앱,환경위생과,,010-5278-8716,591022,N,
D1019,2026/01/13,2026/01/19,완료,별빛동,별빛동 일대,37.544596,126.906949,배출함이 넘친 지 사흘째입니다. 냄새도 나기 시작했습니다.,전화,환경위생과,계도 조치,010-9271-2036,570715,N,
D1081,2026-01-25,,접수,노을동,노을동 일대,37.562811,126.893786,침대랑 장롱을 트럭으로 내려놓고 그냥 갔다고 합니다.,방문,자원순환과,,010-6321-6182,890504,N,
D1119,2026-06-16,,처리중,물결동,새올구 물결동 물결로 22길 46,37.558582,126.95682,마대자루에 담아 놨는데 이래도 되는 건가요,구청 홈페이지,환경위생과,,010-7271-8656,860515,N,
D1013,2026년 5월 10일,2026년 5월 17일,완료,별빛동,별빛동 근린공원 후문,37.551023,126.929459,옷장 하나가 며칠 전부터 그 자리입니다.,모바일앱,자원순환과,계도 조치,010-4911-8049,741122,Y,
D1153,2025-09-13,2025-09-19,완료,햇살동,새올구 햇살동 858-22번지,37.545776,126.94865,종량제 미사용입니다. 몇 번을 말해야 하나요 진짜.,모바일앱,환경위생과,과태료 부과,010-3717-1732,610925,N,
D1144,26.03.02,26.03.05,완료,별빛동,새올구 별빛동 별빛로 2길 37,37.543198,126.926222,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다.,국민신문고,환경위생과,수거 후 안내문 부착,010-2890-5849,030713,Y,
D1176,2026-05-14,2026-05-17,완료,별빛동,새올구 별빛동 630-24번지,37.533822,126.930087,이거 누가 치우나요,전화,환경위생과,수거 완료,010-5505-2881,890918,N,
D1060,2026-06-18,2026-06-20,완료,별빛동,별빛동 원룸촌 클린하우스,37.542935,126.926459,심각합니다,구청 홈페이지,환경위생과,계도 조치,010-3536-8256,910813,N,
D1185,2026년 7월 11일,2026년 7월 13일,완료,들녘동,새올구 들녘동 들녘로 23길 32,37.553451,126.960712,일반 비닐에 담긴 쓰레기 때문에 골목이 지저분합니다. 미관상 안 좋아요.,전화,환경위생과,수거 후 안내문 부착,010-6792-7094,871012,N,
D1093,2026/02/06,2026/02/09,완료,바람동,새올구 바람동 바람로 16길 72,37.523774,126.946429,일반 비닐 쓰레기 방치. 위치는 주소 참고 부탁드립니다.,구청 홈페이지,환경위생과,현장 정비,010-6647-1214,870425,N,
D1181,2025-09-12,2025-09-14,완료,노을동,새올구 노을동 노을로 5길 62,37.541026,126.898351,종량제 봉투에 안 담고 종이상자에 담아 버렸습니다.,국민신문고,환경위생과,수거 후 안내문 부착,010-2001-1791,621015,N,
D1098,25.11.13,25.11.17,완료,바람동,새올구 바람동 731-33번지,37.531038,126.91852,매트리스가 벽에 세워져 있습니다. 며칠 됐어요.,구청 홈페이지,자원순환과,현장 정비,010-9050-6333,550913,N,
D1182,2026/06/21,2026/06/22,완료,물결동,새올구 물결동 661-23번지,37.537485,126.947201,규격 봉투 사용 안 함. 확인 요청합니다.,국민신문고,환경위생과,현장 정비,010-1625-9471,570414,N,
D1113,2026/08/07,2026/08/10,완료,숲길동,새올구 숲길동 숲길로 16길 26,37.552321,126.903832,배출함 적재 초과입니다 비우는 주기를 늘려주세요,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-1320-6002,580527,N,
D1121,2026년 6월 10일,2026년 6월 17일,완료,바람동,새올구 바람동 208-33번지,37.52749,126.935296,장식장 유리가 깨져 있어서 정말 위험합니다. 빨리 조치 부탁드립니다.,전화,자원순환과,수거 완료,010-3580-2241,550615,Y,
D1047,2026-06-09,2026-06-12,완료,별빛동,별빛동 근린공원 후문,37.550956,126.929788,수거함 앞이 항상 이럽니다. 아침마다 같은 풍경입니다.,국민신문고,환경위생과,계도 조치,010-5067-4116,811016,Y,
D1006,2026-01-06,2026-01-09,완료,들녘동,들녘동 먹자골목 뒤편,37.543944,126.935886,카페 영업 쓰레기를 주택가에 버리고 갑니다.,전화,환경위생과,현장 정비,010-1945-6282,641213,Y,
D1141,2026-04-09,2026-04-11,완료,숲길동,새올구 숲길동 750-21번지,37.566669,126.913576,페트병 라벨을 안 뗐습니다. 안내가 필요해 보입니다.,전화,환경위생과,수거 후 안내문 부착,010-5375-7876,680312,N,
D1108,2026-04-29,2026-05-03,완료,바람동,새올구 바람동 바람로 1길 39,37.534579,126.928008,새벽 시간에 봉투 던지는 소리가 납니다. 잠을 못 잡니다.,모바일앱,환경위생과,현장 정비,010-2524-4120,830424,N,
D1027,2026/06/26,,처리중,노을동,새올구 노을동 노을로 16길 57,37.554401,126.899432,식당 마감 후 나온 것 같은데 몰래 내놓는다고 합니다.,모바일앱,환경위생과,,010-9220-5088,610905,N,
D1010,2026-02-20,2026-02-23,완료,햇살동,새올구 햇살동 햇살로 15길 2,,,너무 지저분합니다,모바일앱,환경위생과,과태료 부과,010-8383-9264,670226,N,좌표 미확인
D1002,2026-03-27,2026-04-03,완료,들녘동,새올구 들녘동 587-19번지,37.539122,126.960631,장롱을 해체해서 버렸는데 스티커는 없습니다.,전화,자원순환과,현장 정비,010-9794-3026,841224,N,
D1053,26.03.28,26.04.03,완료,노을동,노을동 빌라 단지 진입로,37.554627,126.899424,종량제 봉투 아닌 걸로 버려서 수거가 안 됐습니다. 이대로 두면 계속 쌓일 텐데요.,방문,환경위생과,현장 정비,010-8443-3613,940613,Y,
D1091,2025-10-28,2025-10-31,완료,햇살동,햇살동 마을버스 종점,37.567151,126.939193,유리병과 캔이 종이류와 함께 묶여 있어 수거가 안 됩니다.,구청 홈페이지,환경위생과,수거 완료,010-1570-9774,670416,N,
D1087,2026-05-05,,처리중,숲길동,숲길동 일대,37.581338,126.913609,밤에 몰래 버리고 갑니다 진짜 너무합니다,국민신문고,환경위생과,,010-2942-6752,790528,N,
D1025,26.04.18,26.04.19,완료,숲길동,새올구 숲길동 숲길로 17길 60,37.57427,126.899545,밤사이에 또 쌓였습니다. 어제 치웠는데요.,국민신문고,환경위생과,수거 후 안내문 부착,010-7759-6512,980417,N,
D1002,2026-03-27,2026-04-03,완료,들녘동,새올구 들녘동 587-19번지,37.539122,126.960631,장롱을 해체해서 버렸는데 스티커는 없습니다.,전화,자원순환과,현장 정비,010-9794-3026,841224,N,
D1100,2026-01-07,2026-01-11,완료,햇살동,새올구 햇살동 햇살로 19길 42,37.571054,126.948462,그 자리 아시죠,전화,환경위생과,과태료 부과,010-7612-9112,550119,N,
D1021,2026-07-08,2026-07-09,완료,별빛동,별빛동 재래시장 뒤 골목,37.554385,126.913804,일반 비닐봉지 세 개가 전봇대 밑에 있습니다.,모바일앱,환경위생과,계도 조치,010-7891-3265,920701,Y,
D1105,2026-01-25,,처리중,노을동,노을동 대학가 원룸 밀집지,37.557502,126.91343,업소에서 나온 대형 포장재가 통행을 막고 있습니다.,구청 홈페이지,환경위생과,,010-2727-5820,811228,Y,
D1189,2026-07-29,2026-08-01,완료,별빛동,새올구 별빛동 별빛로 16길 77,37.554169,126.913614,밤에 버리고 가서 누가 그러는지 알 수가 없습니다.,전화,환경위생과,수거 후 안내문 부착,010-6674-2047,900422,N,
D1094,2026-04-01,2026-04-04,완료,별빛동,별빛동 재래시장 뒤 골목,37.553982,126.914083,심야에 트럭이 와서 내려놓고 간다는 목격담이 있습니다.,국민신문고,환경위생과,과태료 부과,010-8804-8498,780910,Y,
