민원ID,접수일,부서,민원유형,행정동,접수채널,연령대,처리상태,처리일,처리일수,만족도,재민원여부,민원인연락처,민원내용요약
C00204,2025-12-15,건축과,건축 인허가,가온동,국민신문고,20대 이하,완료,2026-01-02,18,3,N,010-2542-5821,허가 처리 지연 문의
C00208,2025/12/10,환경관리과,악취,나래동,전화,50대,완료,2025/12/19,9,,N,010-8876-7432,음식물 쓰레기 악취
C00524,2026.05.09,도로교통과,가로등 고장,새벽동,앱,30대,처리중,,,,N,010-9596-6411,야간 점등 불량
C00664,2026.07.18,청소행정과,쓰레기 무단투기,나래동,앱,40대,완료,2026.07.24,6,,N,010-8244-4290,상습 투기 지점 방치
C00275,2026-01-19,건축과,건축 인허가,가온동,국민신문고,20대 이하,완료,2026-02-11,23,,N,010-8130-7784,허가 처리 지연 문의
C00067,2025-10-18,,공원 관리,가온동,전화,30대,완료,2025-10-29,11,4,N,010-2764-8957,시설물 파손
C00058,2025-09-10,도로교통과,가로등 고장,다솜동,국민신문고,40대,완료,2025-09-21,11,4,Y,010-7461-9240,야간 점등 불량
C00216,2025.12.18,복지정책과,복지 상담,라온동,국민신문고,60대 이상,완료,2025.12.23,5,,N,010-6112-7977,지원금 신청 문의
C00453,2026/04/07,환경관리과,공원 관리,,국민신문고,30대,완료,2026/04/17,10,,N,010-8724-9168,시설물 파손
C00686,2026년 07월 18일,건축과,건축 인허가,새벽동,국민신문고,50대,완료,2026년 07월 29일,11,,N,010-8507-5912,허가 처리 지연 문의
C00167,2025.11.03,도로교통과,도로파손,마루동,국민신문고,40대,완료,2025.11.10,7,5,N,010-5784-5369,포트홀 발생
C00062,2025.10.04,도로교통과,가로등 고장,가온동,방문,60대 이상,완료,2025.10.13,9,,N,010-7841-3842,야간 점등 불량
C00599,2026-06-19,청소행정과,쓰레기 무단투기,가온동,전화,40대,완료,2026-06-21,2,5,N,010-7616-8091,상습 투기 지점 방치
C00597,2026-06-29,환경관리과,악취,가온동,국민 신문고,60대 이상,완료,2026-07-07,8,4,N,010-6925-3580,음식물 쓰레기 악취
C00386,2026-03-13,주민생활지원과,기타,새벽동,국민신문고,60대 이상,완료,2026-03-24,11,,N,010-4991-4099,기타 건의
C00296,2026-01-24,청소행정과,쓰레기 무단투기,가온동,전화,40대,완료,2026-02-02,9,4,Y,010-9820-7505,상습 투기 지점 방치
C00087,2025-10-29,도로교통과,불법주정차,다솜동,홈페이지,60대 이상,완료,2025-11-04,6,,Y,010-7217-6860,이면도로 상시 주차
C00703,2026-08-29,복지정책과,복지 상담,바다동,앱,40대,완료,2026-09-02,4,4,Y,010-7004-6153,지원금 신청 문의
C00712,2026/08/05,청소행정과,쓰레기 무단투기,가온동,홈페이지,60대 이상,완료,2026/08/22,17,,Y,010-3924-7336,상습 투기 지점 방치
C00384,2026.03.05,복지정책과,복지 상담,나래동,국민신문고,50대,완료,2026.03.08,3,5,N,010-2840-9799,지원금 신청 문의
C00554,2026-05-14,청소행정과,쓰레기 무단투기,가온동,전화,30대,완료,2026-05-23,9,,N,010-2355-8617,상습 투기 지점 방치
C00571,2026-06-28,청소행정과,쓰레기 무단투기,새벽동,홈페이지,50대,완료,2026-07-07,9,4,N,010-9549-3285,상습 투기 지점 방치
C00389,2026-03-14,도로교통과,가로등 고장,새벽동,국민신문고,20대 이하,완료,2026-03-21,7,4,N,010-8715-4156,야간 점등 불량
C00311,2026-02-13,도로교통과,불법주정차,새벽동,전화,30대,보류,,,,N,010-4423-1576,이면도로 상시 주차
C00671,2026.07.08,복지정책과,복지 상담,가온동,전화,60대 이상,완료,2026.07.18,10,3,Y,010-2670-3733,지원금 신청 문의
C00200,2025-12-20,도로교통과,도로파손,새벽동,국민신문고,60대 이상,완료,2025-12-23,3,5,N,010-9507-8216,포트홀 발생
C00474,2026/04/25,도로교통과,불법주정차,새벽동,국민신문고,30대,완료,2026/05/04,9,4,N,010-2171-4916,이면도로 상시 주차
C00159,2025/11/15,환경관리과,악취,바다동,방문,40대,보류,,,,N,010-8217-2770,음식물 쓰레기 악취
C00398,2026.03.21,도로교통과,불법주정차,바다동,방문,40대,처리중,,,,N,010-3947-1283,이면도로 상시 주차
C00351,2026-02-05,도로교통과,불법주정차,다솜동,홈페이지,60대 이상,완료,2025-08-15,1,5,N,010-3068-8752,이면도로 상시 주차
C00273,2026년 01월 02일,건축과,건축 인허가,새벽동,전화,30대,완료,2026년 01월 12일,10,4,N,010-8720-7720,허가 처리 지연 문의
C00188,2025.12.08,환경관리과,소음,다솜동,국민신문고,40대,완료,2025.12.11,3,5,N,010-3577-8883,야간 공사 소음
C00431,2026-03-09,환경관리과,공원 관리,새벽동,국민신문고,50대,완료,2026-03-17,8,,N,010-4776-3675,시설물 파손
C00336,2026년 02월 19일,청소행정과,쓰레기 무단투기,가온동,앱,60대 이상,처리중,,,,N,010-2159-5654,상습 투기 지점 방치
C00043,2025-09-11,환경관리과,소음,바다동,전화,30대,완료,2025-09-17,6,,Y,010-2400-8457,야간 공사 소음
C00012,2025/09/11,도로교통과,도로파손,새벽동,국민신문고,30대,완료,2025/09/21,10,3,N,010-5137-6273,포트홀 발생
C00038,2025-09-25,도로교통과,가로등 고장,라온동,전화,60대 이상,보류,,,,N,010-7422-5297,야간 점등 불량
C00717,2026-08-02,도로교통과,가로등 고장,바다동,국민신문고,50대,완료,2026-08-12,10,5,Y,010-3794-9553,야간 점등 불량
C00700,2026년 08월 27일,청소행정과,쓰레기 무단투기,가온동,방문,30대,완료,2026년 09월 11일,15,4,N,010-7021-7391,상습 투기 지점 방치
C00375,2026-03-15,주민생활지원과,기타,새벽동,방문,60대 이상,완료,2026-03-26,11,3,N,010-3435-4661,기타 건의
C00400,2026-03-04,복지정책과,복지 상담,라온동,전화,50대,완 료,2026-03-14,10,4,N,010-7691-1870,지원금 신청 문의
C00099,2025-10-16,청소행정과,쓰레기 무단투기,새벽동,전화,20대 이하,완료,2025-10-18,2,4,N,010-4333-2110,상습 투기 지점 방치
C00534,2026-05-11,도로교통과,불법주정차,라온동,국민신문고,50대,완료,2026-05-14,3,5,N,010-2908-8462,이면도로 상시 주차
C00752,2026-08-20,도로교통과,가로등 고장,가온동,앱,40대,완료,2026-08-24,4,5,N,010-4299-7346,야간 점등 불량
C00625,2026-06-08,도로교통과,도로파손,다솜동,앱,20대 이하,완료,2026-06-15,7,,N,010-4887-8960,포트홀 발생
C00406,2026년 03월 23일,환경관리과,소음,다솜동,전화,40대,처리중,,,,N,010-6146-3950,야간 공사 소음
C00374,2026-03-14,복지정책과, 복지 상담 ,새벽동,앱,50대,완료,2026-03-20,6,,N,010-6952-4924,지원금 신청 문의
C00359,2026-02-26,청소행정과,쓰레기 무단투기,라온동,국민신문고,60대 이상,완료,2026-03-03,5,5,N,010-3259-1876,상습 투기 지점 방치
C00403,2026-03-20,청소행정과,쓰레기 무단투기,가온동,국민신문고,60대 이상,완료,2026-03-27,7,3,N,010-4377-8343,상습 투기 지점 방치
C00512,2026-05-13,청소행정과,쓰레기 무단투기,마루동,전화,40대,완료,2026-05-19,6,4,Y,010-8125-6427,상습 투기 지점 방치
C00673,2026-07-22,도로교통과,불법주정차,나래동,전화,30대,보류,,,,N,010-2537-3076,이면도로 상시 주차
C00228,2025-12-11,건축과,건축 인허가,나래동,홈페이지,40대,완료,2026-01-06,26,3,N,010-6887-3233,허가 처리 지연 문의
C00580,2026.06.29,환경관리과,악취,다솜동,국민신문고,30대,완료,2026.07.04,5,,N,010-6566-6959,음식물 쓰레기 악취
C00724,2026-08-09,주민생활지원과,기타,다솜동,전화,40대,완료,2026-08-19,10,3,Y,010-3451-7741,기타 건의
C00304,2026-01-15,도로교통과,도로파손,나래동,홈페이지,20대 이하,완료,2026-01-16,1,5,N,010-7663-9979,포트홀 발생
C00018,2025-09-28,도로교통과,불법주정차,나래동,전화,30대,완료,2025-10-01,3,,N,010-6815-4563,이면도로 상시 주차
C00746,2026-08-17,청소행정과,쓰레기 무단투기,마루동,앱,50대,완료,2026-08-23,6,4,N,010-5810-5988,상습 투기 지점 방치
C00009,2025-09-26,건축과,건축 인허가,다솜동,전화,40대,완료,2025-10-09,13,3,N,010-3019-2912,허가 처리 지연 문의
C00734,2026.08.22,청소행정과,쓰레기 무단투기,새벽동,홈페이지,60대 이상,완료,2026.08.26,4,5,N,010-5106-6935,상습 투기 지점 방치
C00055,2025.09.09,건축과,건축 인허가,나래동,전화,30대,완료,2025.09.16,,4,N,010-9147-9392,허가 처리 지연 문의
C00271,2026/01/19,도로교통과,불법주정차,새벽동,전화,20대 이하,완료,2026/02/02,14,4,N,010-7578-3598,이면도로 상시 주차
C00171,2025-11-14,건축과,건축 인허가,새벽동,방문,30대,완료,2025-11-27,13,3,N,010-4765-4893,허가 처리 지연 문의
C00272,2026.01.08,도로교통과,도로파손,라온동,국민신문고,50대,완료,2026.01.14,6,,N,010-8928-1041,포트홀 발생
C00110,2025/10/03,환경관리과,공원 관리,라온동,국민신문고,60대 이상,완료,2025/10/10,7,3,N,010-3159-7139,시설물 파손
C00511,2026년 05월 04일,도로교통과,불법주정차,새벽동,국민신문고,30대,완료,2026년 05월 09일,5,,N,010-9416-2330,이면도로 상시 주차
C93425,2026.02.17,주민생활지원과,기타,다솜동,홈페이지,30대,완료,2026.02.20,3,,N,010-2826-8036,기타 건의
C00244,2026.01.19,청소행정과,쓰레기 무단투기,다솜동,방문,60대 이상,완료,2026.01.23,4,,N,010-5195-9076,상습 투기 지점 방치
C00098,2025년 10월 16일,주민생활지원과,기타,새벽동,앱,40대,완료,2025년 10월 17일,1,5,N,010-7170-5733,기타 건의
C00182,2025년 11월 11일,청소행정과, 쓰레기 무단투기 ,다솜동,국민신문고,60대 이상,처리중,,,,N,010-3786-1905,상습 투기 지점 방치
C00232,2025-12-07,도로교통과,불법주정차,나래동,국민신문고,60대 이상,처리중,,,,N,010-4795-2130,이면도로 상시 주차
C00713,2026.08.21,도로교통과,불법주정차,새벽동,앱,50대,완료,2026.08.27,6,3,N,010-5568-7326,이면도로 상시 주차
C00708,2026-08-18,환경관리과,공원 관리,다솜동,홈페이지,60대 이상,완료,2026-08-23,5,5,N,010-6064-7399,시설물 파손
C00139,2025.11.06,환경관리과,소음,라온동,앱,30대,완료,2025.11.15,9,4,N,010-7725-8456,야간 공사 소음
C00421,2026-03-16,환경관리과,공원 관리,바다동,전화,40대,완료,2026-03-19,3,,N,010-5690-2965,시설물 파손
C00692,2026.07.18,도로교통과,가로등 고장,새벽동,전화,30대,완료,2026.07.22,4,,N,010-6378-2584,야간 점등 불량
C00089,2025/10/12,도로교통과,불법주정차,마루동,국민신문고,40대,완료,2025/10/22,10,4,N,010-8501-5703,이면도로 상시 주차
C00160,2025.11.07,환경관리과,공원 관리,마루동,전화,30대,완료,2025.11.08,1,,N,010-7922-4563,시설물 파손
C00591,2026-06-29,도로교통과,불법주정차,새벽동,국민신문고,50대,완료,2026-07-06,7,5,N,010-6474-8878,이면도로 상시 주차
C00328,2026.02.26,도로교통과,불법주정차,,전화,50대,완료,2026.03.06,8,4,N,010-6290-6454,이면도로 상시 주차
C00684,2026/07/10,청소행정과,쓰레기 무단투기,마루동,전화,50대,완료,2026/07/15,5,,N,010-3925-1531,상습 투기 지점 방치
C00073,2025-10-15,환경관리과,소음,바다동,홈페이지,50대,완료,2025-10-22,7,3,N,010-3607-3895,야간 공사 소음
C00134,2025-11-30,환경관리과,악취,가온동,홈페이지,50대,완료,2025-12-20,20,2,N,010-4257-3307,음식물 쓰레기 악취
C00507,2026-05-14,환경관리과,공원 관리,마루동,국민신문고,40대,완료,2026-05-21,7,4,N,010-2463-2494,시설물 파손
C00298,2026-01-24,환경관리과,악취,가온동,전화,20대 이하,완료,2026-02-17,24,2,N,010-8283-8558,음식물 쓰레기 악취
C00378,2026년 03월 21일,주민생활지원과,기타,나래동,전화,30대,완료,2026년 03월 26일,5,4,N,010-7385-2119,기타 건의
C00319,2026-02-16,복지정책과,복지 상담,바다동,앱,40대,완료,2026-02-21,5,,N,010-6988-3764,지원금 신청 문의
C00639,2026-07-14,도로교통과,도로파손,,홈페이지,60대 이상,완료,2026-07-17,3,5,N,010-5794-5228,포트홀 발생
C00164,2025-11-15,청소행정과,쓰레기 무단투기,가온동,앱,30대,완료,2025-11-24,9,5,Y,010-4831-5923,상습 투기 지점 방치
C00595,2026년 06월 23일,환경관리과,악취,다솜동,앱,50대,완료,2026년 06월 29일,6,,N,010-4516-7344,음식물 쓰레기 악취
C00206,2025-12-08,환경관리과,공원 관리,가온동,전화,50대,완료,2025-12-24,16,,N,010-8301-4593,시설물 파손
C00346,2026-02-08,복지정책과,복지 상담,새벽동,국민신문고,30대,처리중,,,,N,010-8837-9645,지원금 신청 문의
C00156,2025-11-14,청소행정과,쓰레기 무단투기,새벽동,방문,20대 이하,완료,2025-11-15,1,4,N,010-6568-7638,상습 투기 지점 방치
C00333,2026-02-03,환경관리과,소음,라온동,앱,50대,보류,,,,N,010-9393-7733,야간 공사 소음
C00564,2026-05-15,도로교통과,불법주정차,마루동,전화,50대,완료,2026-05-20,5,,N,010-8754-5411,이면도로 상시 주차
C00726,2026/08/30,환경관리과,공원 관리,나래동,방문,50대,완료,2026/09/04,5,,N,010-3885-2386,시설물 파손
C00735,2026년 08월 19일,청소행정과,쓰레기 무단투기,가온동,전화,30대,완료,2026년 09월 06일,18,3,Y,010-9278-5111,상습 투기 지점 방치
C00005,2025/09/02,복지정책과,복지 상담,라온동,국민신문고,60대 이상,완료,2025/09/05,3,4,N,010-6706-9197,지원금 신청 문의
C00516,2026/05/12,청소행정과,쓰레기 무단투기,마루동,국민신문고,50대,완료,2026/05/17,5,4,N,010-8190-6698,상습 투기 지점 방치
C00488,2026/04/08,,건축 인허가,새벽동,국민신문고,40대,완료,2026/04/24,16,3,N,010-6475-6862,허가 처리 지연 문의
C00014,2025년 09월 09일,도로교통과,가로등 고장,라온동,전화,50대,완료,2025년 09월 12일,3,5,Y,010-5884-3643,야간 점등 불량
C00616,2026년 06월 30일,복지정책과,복지 상담,다솜동,앱,50대,완료,2026년 07월 06일,6,4,N,010-8427-4641,지원금 신청 문의
C00119,2025년 10월 24일,도로교통과,불법주정차,마루동,국민신문고,50대,완료,2025년 10월 31일,7,5,N,010-5759-8386,이면도로 상시 주차
C00169,2025-11-19,도로교통과,불법주정차,라온동,방문,30대,완료,2025-11-28,9,5,N,010-5297-4405,이면도로 상시 주차
C00242,2025-12-08,,건축 인허가,새벽동,전화,40대,완료,2025-12-17,9,4,N,010-2507-7662,허가 처리 지연 문의
C00297,2026-01-23,복지정책과,복지 상담,가온동,전화,30대,완료,2026-01-31,8,4,N,010-6052-4418,지원금 신청 문의
C00100,2025-10-02,도로교통과,가로등 고장,가온동,국민신문고,30대,완료,2025-10-11,9,,N,010-9221-7827,야간 점등 불량
C00576,2026-06-30,도로교통과,도로파손,새벽동,국민신문고,60대 이상,완료,2026-07-06,6,4,N,010-7855-1746,포트홀 발생
C00185,2025-11-14,건축과,건축 인허가,나래동,홈페이지,20대 이하,완료,2025-12-08,24,,N,010-2470-7018,허가 처리 지연 문의
C00678,2026.07.13,환경관리과,공원 관리,라온동,전화,50대,완료,2026.07.19,6,5,N,010-2378-8076,시설물 파손
C00022,2025-09-21,환경관리과,소음,새벽동,방문,30대,완료,2025-10-02,11,3,N,010-4945-4089,야간 공사 소음
C00411,2026/03/20,환경관리과,소음,마루동,전화,30대,완료,2026/03/31,11,3,N,010-8339-6417,야간 공사 소음
C00064,2025-10-08,청소행정과,쓰레기 무단투기,가온동,전화,20대 이하,완료,2025-10-09,1,,N,010-5249-8000,상습 투기 지점 방치
C00646,2026-07-01,청소행정과,쓰레기 무단투기,라온동,전화,30대,완료,2026-07-07,6,,Y,010-3661-6263,상습 투기 지점 방치
C00314,2026.02.23,도로교통과, 도로파손 ,,앱,60대 이상,완료,2026.03.03,8,4,N,010-7751-2646,포트홀 발생
C00570,2026-06-06,도로교통과,가로등 고장,새벽동,앱,60대 이상,완료,2026-06-14,8,,N,010-2377-9433,야간 점등 불량
C00369,2026/02/11,환경관리과,소음,바다동,국민신문고,20대 이하,완료,2026/02/19,8,4,Y,010-6574-8719,야간 공사 소음
C00518,2026년 05월 08일,도로교통과, 도로파손 ,가온동,방문,30대,완료,2026년 05월 16일,8,5,N,010-3212-2092,포트홀 발생
C00482,2026.04.29,도로교통과,불법주정차,마루동,앱,40대,완료,2026.05.09,10,3,N,010-3880-2430,이면도로 상시 주차
C00184,2025-11-25,도로교통과,가로등 고장,바다동,국민신문고,50대,완료,2025-11-30,5,,N,010-7997-4002,야간 점등 불량
C00593,2026/06/15,청소행정과,쓰레기 무단투기,다솜동,홈페이지,40대,완료,2026/06/21,,,N,010-8562-9774,상습 투기 지점 방치
C00741,2026.08.24,청소행정과,쓰레기 무단투기,라온동,방문,40대,완료,2026.09.04,11,,N,010-6569-2543,상습 투기 지점 방치
C00197,2025-12-05,도로교통과,불법주정차,라온동,국민신문고,20대 이하,보류,,,,N,010-4375-5547,이면도로 상시 주차
C00616,2026년 06월 30일,복지정책과,복지 상담,다솜동,앱,50대,완료,2026년 07월 06일,6,4,N,010-8427-4641,지원금 신청 문의
C00376,2026/03/02,청소행정과,쓰레기 무단투기,나래동,홈페이지,20대 이하,완료,2026/03/15,13,3,N,010-8278-8992,상습 투기 지점 방치
C00523,2026/05/17,주민생활지원과,기타,라온동,방문,50대,완료,2026/05/22,5,3,N,010-3910-3420,기타 건의
C00745,2026-08-26,도로교통과,불법주정차,다솜동,홈페이지,50대,처리중,,,,N,010-6924-2292,이면도로 상시 주차
C00491,2026-04-19,도로교통과,가로등 고장,새벽동,국민신문고,30대,완료,2026-04-25,6,4,N,010-7757-6308,야간 점등 불량
C00436,2026-04-04,도로교통과,불법주정차,마루동,국민신문고,20대 이하,완료,2026-04-08,4,,N,010-7232-5341,이면도로 상시 주차
C00653,2026-07-05,청소행정과,쓰레기 무단투기,마루동,홈페이지,20대 이하,완료,2026-07-12,7,,N,010-9103-6622,상습 투기 지점 방치
C97858,2025/12/13,도로교통과,도로파손,바다동,전화,40대,완료,2025/12/19,6,5,N,010-3453-3463,포트홀 발생
C00730,2026-08-03,청소행정과,쓰레기 무단투기,나래동,홈페이지,20대 이하,보류,,,,N,010-5969-1705,상습 투기 지점 방치
C00177,2025-11-08,도로교통과,도로파손,가온동,앱,60대 이상,완료,2025-11-23,15,,N,010-4185-4848,포트홀 발생
C00714,2026년 08월 31일,도로교통과,불법주정차,가온동,방문,50대,완료,2026년 09월 07일,7,3,N,010-5538-4394,이면도로 상시 주차
C00332,2026-02-21,도로교통과,불법주정차,마루동,국민신문고,40대,완료,2026-02-22,1,,N,010-2107-3373,이면도로 상시 주차
C00581,2026년 06월 02일,도로교통과,불법주정차,나래동,홈페이지,40대,완료,2026년 06월 05일,3,5,N,010-4656-8642,이면도로 상시 주차
C00457,2026-04-24,도로교통과,불법주정차,나래동,앱,30대,완료,2026-04-26,2,5,N,010-5627-5411,이면도로 상시 주차
C00704,2026-08-13,도로교통과,도로파손,가온동,방문,30대,완료,2026-08-27,14,,N,010-4742-1512,포트홀 발생
C00442,2026-04-19,환경관리과,소음,새벽동,국민신문고,50대,완료,2026-04-24,5,,N,010-3701-3386,야간 공사 소음
C00220,2025-12-06,청소행정과,쓰레기 무단투기,다솜동,전화,30대,완료,2025-12-14,8,4,N,010-4885-7911,상습 투기 지점 방치
C00025,2025-09-10,주민생활지원과,기타,나래동,전화,30대,완료,2025-09-16,6,5,N,010-5376-2925,기타 건의
C00029,2025-09-25,도로교통과,불법주정차,가온동,앱,50대,보류,,,,N,010-5514-5943,이면도로 상시 주차
C00520,2026-05-25,도로교통과,도로파손,라온동,방문,50대,완료,2026-05-29,4,,Y,010-9817-1391,포트홀 발생
C00195,2025.12.30,도로교통과,불법주정차,나래동,국민신문고,20대 이하,완료,2026.01.03,4,4,N,010-8076-2197,이면도로 상시 주차
C00519,2026-05-27,건축과,건축 인허가,가온동,국민신문고,40대,완료,2026-06-12,16,3,Y,010-6719-9685,허가 처리 지연 문의
C00150,2025-11-13,도로교통과,도로파손,마루동,전화,30대,완료,2025-11-21,8,4,N,010-6817-5971,포트홀 발생
C00461,2026.04.01,도로교통과,불법주정차,다솜동,전화,50대,완 료,2026.04.13,12,,N,010-5108-4978,이면도로 상시 주차
C00036,2025-09-27,도로교통과,도로파손,바다동,국민신문고,30대,완료,2025-09-30,3,5,Y,010-3706-2756,포트홀 발생
C00250,2026/01/18,도로교통과, 도로파손 ,다솜동,국민신문고,40대,완료,2026/01/25,7,5,N,010-2981-5638,포트홀 발생
C00526,2026-05-02,주민생활지원과,기타,바다동,방문,30대,완료,2026-05-09,7,,N,010-2438-2294,기타 건의
C00565,2026/05/05,도로교통과,불법주정차,마루동,앱,40대,완료,2026/05/06,1,5,N,010-4979-8297,이면도로 상시 주차
C00367,2026-02-16,도로교통과,가로등 고장,바다동,앱,20대 이하,완료,2026-02-21,5,5,N,010-8124-9277,야간 점등 불량
C00392,2026년 03월 16일,환경관리과,악취,다솜동,방문,30대,완료,2026년 03월 17일,1,4,N,010-4806-8915,음식물 쓰레기 악취
C00706,2026.08.08,청소행정과,쓰레기 무단투기,라온동,국민신문고,30대,완료,2026.08.21,13,4,N,010-2473-2606,상습 투기 지점 방치
C00181,2025.11.17,환경관리과,소음,새벽동,방문,30대,완료,2025.11.23,6,,N,010-2831-2789,야간 공사 소음
C00422,2026-03-20,도로교통과,불법주정차,가온동,홈페이지,50대,완료,2026-03-31,11,3,N,010-3364-2766,이면도로 상시 주차
C00337,2026-02-20,주민생활지원과,기타,라온동,전화,50대,완료,2026-03-02,10,3,Y,010-8578-3217,기타 건의
C00619,2026-06-29,도로교통과,불법주정차,가온동,국민신문고,40대,완료,2026-07-07,8,,N,010-9610-7395,이면도로 상시 주차
C00081,2025-10-25,청소행정과,쓰레기 무단투기,나래동,홈페이지,30대,완료,2025-10-30,5,,Y,010-2906-2865,상습 투기 지점 방치
C00497,2026년 04월 30일,청소행정과,쓰레기 무단투기,가온동,전화,60대 이상,완료,2026년 05월 12일,12,3,N,010-4720-1664,상습 투기 지점 방치
C00225,2025-12-29,환경관리과,악취,새벽동,전화,30대,완료,2026-01-06,8,3,Y,010-8118-3938,음식물 쓰레기 악취
C00448,2026년 04월 13일,복지정책과,복지 상담,다솜동,국민신문고,20대 이하,완료,2026년 04월 19일,6,5,N,010-4998-3429,지원금 신청 문의
C00335,2026.02.09,청소행정과,쓰레기 무단투기,라온동,전화,40대,완료,2026.02.17,8,,N,010-9259-6969,상습 투기 지점 방치
C00345,2026-02-10,도로교통과,도로파손,나래동,전화,40대,처리중,,,,N,010-3584-2336,포트홀 발생
C00569,2026-06-08,복지정책과,복지 상담,가온동,앱,20대 이하,완료,2026-06-21,13,2,N,010-8578-2289,지원금 신청 문의
C00215,2025/12/17,청소행정과,쓰레기 무단투기,다솜동,국민신문고,40대,완료,2025/12/21,4,4,Y,010-9737-9465,상습 투기 지점 방치
C00283,2026-01-05,복지정책과,복지 상담,나래동,앱,60대 이상,완료,2026-01-07,2,5,N,010-4924-7891,지원금 신청 문의
C00128,2025-11-13,주민생활지원과,기타,새벽동,앱,30대,완료,2025-11-18,5,5,N,010-8968-2745,기타 건의
C00265,2026.01.16,청소행정과,쓰레기 무단투기,가온동,전화,30대,완료,2026.01.29,13,,Y,010-8614-6807,상습 투기 지점 방치
C00050,2025-09-29,환경관리과,공원 관리,마루동,앱,30대,완료,2025-10-04,5,,Y,010-8526-6805,시설물 파손
C00379,2026-03-08,청소행정과,쓰레기 무단투기,가온동,국민신문고,20대 이하,완 료,2026-03-21,13,5,N,010-9710-1228,상습 투기 지점 방치
C00094,2025-10-27,환경관리과,소음,바다동,방문,40대,처리중,,,,N,010-6699-1765,야간 공사 소음
C95284,2026-08-24,환경관리과,악취,라온동,홈페이지,30대,완료,2026-09-02,9,4,N,010-6047-6375,음식물 쓰레기 악취
C00354,2026-02-18,도로교통과,도로파손,새벽동,전화,50대,완료,2026-02-24,6,3,N,010-7099-4633,포트홀 발생
C00268,2026-01-21,도로교통과,가로등 고장,새벽동,국민신문고,40대,완료,2026-01-30,9,4,N,010-4556-5838,야간 점등 불량
C00229,2025/12/25,환경관리과,공원 관리,라온동,앱,50대,완료,2026/01/04,10,3,N,010-8682-9632,시설물 파손
C00173,2025/11/16,건축과,건축 인허가,다솜동,앱,20대 이하,완료,2025/11/30,14,,N,010-5836-3040,허가 처리 지연 문의
C00316,2026-02-14,복지정책과,복지 상담,새벽동,앱,50대,완료,2026-02-17,3,5,N,010-2662-3452,지원금 신청 문의
C00322,2026년 02월 01일,건축과,건축 인허가,마루동,국민신문고,60대 이상,완료,2026년 02월 07일,6,4,N,010-7978-3440,허가 처리 지연 문의
